contributor | title | genre | pages | volume | issue | date | journal title | journal subtitle | issue name | journal editor | publisher | journal location | issue length (pp) | issue height (cm) | issue width (cm)
Storey, Moorfield | Athens and Brownsville | articles | 13-13 | 1 | 1 | 1910-11-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 20 | 22.9 | 15.2      
Adams, John Henry | Cartoon: The Christmas Reckoning | images | 18-19 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Boas, Franz (Professor of Anthropology, Columbia University) | The Real Race Problem | articles | 22-25 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Milholland, John E. (Mrs.) | Talks about Women―I | articles | 28-28 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Dutch Workingmen | Letters | letters | 28-29 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
A Russian Revolutionist | Letters | letters | 28-29 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
A Northern White Man | Letters | letters | 28-29 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
A Southern White Man | Letters | letters | 28-29 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
A Colored Man | Letters | letters | 28-29 | 1 | 2 | 1910-12-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Du Bois, W. E. B. | A Winter Pilgrimage | articles | 15-15 | 1 | 3 | 1911-01-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Adams, John Henry | Cartoon: The National Pastime | images | 18-19 | 1 | 3 | 1911-01-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Addams, Jane | Social Control | articles | 22-23 | 1 | 3 | 1911-01-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Hill, Leslie Pinckney | The Teacher | poetry | 23-23 | 1 | 3 | 1911-01-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Milholland, John E. (Mrs.) | Talks about Women―II | articles | 27-27 | 1 | 3 | 1911-01-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Adams, John Henry | Portrait of the Hon. Harry W. Bass | images | 1-1 | 1 | 4 | 1911-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Adams, John Henry | Cartoon: 1900/1910 | images | 18-19 | 1 | 4 | 1911-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Stafford, Wendell Phillips (Justice) | Charles Sumner | poetry | 22-22 | 1 | 4 | 1911-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Burt, Andrew S. (Brigadier-General (retired)) | The Negro as a Soldier | articles | 23-25 | 1 | 4 | 1911-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Hoggan, Frances (Dr.) | A Black Statesman of the Last Century | articles | 26-27 | 1 | 4 | 1911-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Milholland, John E. (Mrs.) | Talks about Women―III | articles | 28-28 | 1 | 4 | 1911-02-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Lepsius, Karl Richard | Egyptian Portrait of One of the Black Kings of the Upper Nile | images | 1-1 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
Adams, John Henry | Cartoon: 'Social Equality' | images | 18-19 | 1 | 5 | 1911-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 36 | 22.9 | 15.2      
