"title","release_year","character","gender","words","proportion_of_dialogue","age","gross","script_id"
"The Bridges of Madison County",1995,"Betty","woman",311,0.0486393494,35,142,280
"The Bridges of Madison County",1995,"Carolyn Johnson","woman",873,0.1365342509,,142,280
"The Bridges of Madison County",1995,"Eleanor","woman",138,0.0215827338,,142,280
"The Bridges of Madison County",1995,"Francesca Johns","woman",2251,0.3520487957,46,142,280
"The Bridges of Madison County",1995,"Madge","woman",190,0.0297153581,46,142,280
"The Bridges of Madison County",1995,"Michael Johnson","man",723,0.1130747576,38,142,280
"The Bridges of Madison County",1995,"Robert Kincaid","man",1908,0.2984047545,65,142,280
"15 Minutes",2001,"Bobby Korfin","man",328,0.0360122969,,37,623
"15 Minutes",2001,"Daphne Handlova","woman",409,0.0449055775,28,37,623
"15 Minutes",2001,"Deputy Chief Fi","man",347,0.0380983751,,37,623
"15 Minutes",2001,"Detective Eddie","man",2020,0.2217830479,58,37,623
"15 Minutes",2001,"Detective Leon ","man",366,0.0401844532,53,37,623
"15 Minutes",2001,"Detective Tommy","man",160,0.0175669741,25,37,623
"15 Minutes",2001,"Emil Slovak","man",1337,0.1467940272,39,37,623
"15 Minutes",2001,"Fire Marshal Jo","man",1683,0.1847826087,33,37,623
"15 Minutes",2001,"Honey The Hooke","woman",148,0.016249451,,37,623
"15 Minutes",2001,"Nicolette Karas","woman",801,0.087944664,34,37,623
"15 Minutes",2001,"Oleg Razgul","man",608,0.0667545015,34,37,623
"15 Minutes",2001,"Robert Hawkins","man",596,0.0654369785,46,37,623
"15 Minutes",2001,"Rose Hearn","woman",166,0.0182257356,26,37,623
"15 Minutes",2001,"Stephen Geller","man",139,0.0152613087,25,37,623
"2001: A Space Odyssey",1968,"Dr. Andrei Smys","man",225,0.0511247444,42,376,625
"2001: A Space Odyssey",1968,"Dr. Bill Michae","man",151,0.034310384,47,376,625
"2001: A Space Odyssey",1968,"Dr. Dave Bowman","man",780,0.1772324472,32,376,625
"2001: A Space Odyssey",1968,"Dr. Frank Poole","man",752,0.1708702568,31,376,625
"2001: A Space Odyssey",1968,"Dr. Heywood R. ","man",942,0.2140422631,46,376,625
"2001: A Space Odyssey",1968,"Dr. Ralph Halvo","man",918,0.2085889571,59,376,625
"2001: A Space Odyssey",1968,"Elena","woman",155,0.0352192683,37,376,625
"2001: A Space Odyssey",1968,"Miller","man",141,0.0320381731,40,376,625
"2001: A Space Odyssey",1968,"Pilot","man",337,0.076573506,,376,625
"25th Hour",2002,"Agent Brzowski","man",277,0.0273391236,,19,630
"25th Hour",2002,"Frank Slaughter","man",1495,0.1475523095,32,19,630
"25th Hour",2002,"Gedny","man",179,0.0176667983,,19,630
"25th Hour",2002,"Jacob Elinsky","man",1292,0.1275167785,35,19,630
"25th Hour",2002,"Kostya Novotny","man",790,0.0779707856,35,19,630
"25th Hour",2002,"Lichter","man",215,0.0212198974,,19,630
"25th Hour",2002,"Louis Volandes","man",115,0.0113501777,39,19,630
"25th Hour",2002,"Marcuse","man",126,0.0124358468,26,19,630
"25th Hour",2002,"Mary D'Annunzio","woman",256,0.0252664824,20,19,630
"25th Hour",2002,"Monty Brogan","man",3440,0.3395183577,33,19,630
