story,lowercase,count
01: The Girl Who Raised Pigeons,abandoned,2
01: The Girl Who Raised Pigeons,able,2
01: The Girl Who Raised Pigeons,absently,1
01: The Girl Who Raised Pigeons,absolute,1
01: The Girl Who Raised Pigeons,accepted,1
01: The Girl Who Raised Pigeons,accumulated,1
01: The Girl Who Raised Pigeons,across,9
01: The Girl Who Raised Pigeons,act,1
01: The Girl Who Raised Pigeons,additional,1
01: The Girl Who Raised Pigeons,adjusted,1
01: The Girl Who Raised Pigeons,adult,1
01: The Girl Who Raised Pigeons,afford,1
01: The Girl Who Raised Pigeons,afraid,1
01: The Girl Who Raised Pigeons,afternoon,2
01: The Girl Who Raised Pigeons,age,1
01: The Girl Who Raised Pigeons,ages,2
01: The Girl Who Raised Pigeons,agitation,1
01: The Girl Who Raised Pigeons,ahnnt,1
01: The Girl Who Raised Pigeons,ai,7
01: The Girl Who Raised Pigeons,aid,1
01: The Girl Who Raised Pigeons,air,6
01: The Girl Who Raised Pigeons,airy,1
01: The Girl Who Raised Pigeons,aisle,2
01: The Girl Who Raised Pigeons,akin,1
01: The Girl Who Raised Pigeons,alice,1
01: The Girl Who Raised Pigeons,alien,1
01: The Girl Who Raised Pigeons,allowance,1
01: The Girl Who Raised Pigeons,allowed,2
01: The Girl Who Raised Pigeons,almost,4
01: The Girl Who Raised Pigeons,alone,3
01: The Girl Who Raised Pigeons,along,5
01: The Girl Who Raised Pigeons,already,1
01: The Girl Who Raised Pigeons,also,2
01: The Girl Who Raised Pigeons,altogether,2
01: The Girl Who Raised Pigeons,always,5
01: The Girl Who Raised Pigeons,amateur,1
01: The Girl Who Raised Pigeons,amazed,1
01: The Girl Who Raised Pigeons,among,3
01: The Girl Who Raised Pigeons,amount,1
01: The Girl Who Raised Pigeons,amounted,1
01: The Girl Who Raised Pigeons,ana,1
01: The Girl Who Raised Pigeons,anacostia,3
01: The Girl Who Raised Pigeons,ancrgo,1
01: The Girl Who Raised Pigeons,andltavingalwaytbelieved,1
01: The Girl Who Raised Pigeons,animal,2
01: The Girl Who Raised Pigeons,animals,1
01: The Girl Who Raised Pigeons,ann,45
01: The Girl Who Raised Pigeons,another,4
01: The Girl Who Raised Pigeons,anticipation,1
01: The Girl Who Raised Pigeons,anyone,2
01: The Girl Who Raised Pigeons,anything,4
01: The Girl Who Raised Pigeons,anyway,2
01: The Girl Who Raised Pigeons,apartment,3
01: The Girl Who Raised Pigeons,apartments,1
01: The Girl Who Raised Pigeons,appear,1
01: The Girl Who Raised Pigeons,appeared,1
01: The Girl Who Raised Pigeons,apree,1
01: The Girl Who Raised Pigeons,area,1
01: The Girl Who Raised Pigeons,arguing,1
01: The Girl Who Raised Pigeons,arm,2
01: The Girl Who Raised Pigeons,arms,4
01: The Girl Who Raised Pigeons,around,11
01: The Girl Who Raised Pigeons,aside,2
01: The Girl Who Raised Pigeons,ask,2
01: The Girl Who Raised Pigeons,asked,9
01: The Girl Who Raised Pigeons,asking,1
01: The Girl Who Raised Pigeons,assent,1
01: The Girl Who Raised Pigeons,assignments,1
01: The Girl Who Raised Pigeons,assistant,5
01: The Girl Who Raised Pigeons,ast,1
01: The Girl Who Raised Pigeons,asthma,1
01: The Girl Who Raised Pigeons,asthmatic,1
01: The Girl Who Raised Pigeons,asthmaticstlwhat,1
01: The Girl Who Raised Pigeons,atop,1
01: The Girl Who Raised Pigeons,attack,1
01: The Girl Who Raised Pigeons,attended,1
01: The Girl Who Raised Pigeons,attractive,1
01: The Girl Who Raised Pigeons,aunt,1
01: The Girl Who Raised Pigeons,autumn,1
01: The Girl Who Raised Pigeons,avenue,1
01: The Girl Who Raised Pigeons,avoid,1
01: The Girl Who Raised Pigeons,avoided,1
01: The Girl Who Raised Pigeons,awake,1
01: The Girl Who Raised Pigeons,aware,1
01: The Girl Who Raised Pigeons,away,22
01: The Girl Who Raised Pigeons,b,1
01: The Girl Who Raised Pigeons,babies,2
01: The Girl Who Raised Pigeons,baby,10
01: The Girl Who Raised Pigeons,bachelor,1
01: The Girl Who Raised Pigeons,back,37
01: The Girl Who Raised Pigeons,backs,2
01: The Girl Who Raised Pigeons,backyard,3
01: The Girl Who Raised Pigeons,backyards,1
01: The Girl Who Raised Pigeons,bad,1
01: The Girl Who Raised Pigeons,bag,1
01: The Girl Who Raised Pigeons,balls,1
01: The Girl Who Raised Pigeons,baltimore,2
01: The Girl Who Raised Pigeons,baptist,1
01: The Girl Who Raised Pigeons,barber,6
01: The Girl Who Raised Pigeons,barberjmiles,1
01: The Girl Who Raised Pigeons,barbershop,1
01: The Girl Who Raised Pigeons,barefoot,3
01: The Girl Who Raised Pigeons,barely,1
01: The Girl Who Raised Pigeons,barking,1
01: The Girl Who Raised Pigeons,bars,1
01: The Girl Who Raised Pigeons,baskets,2
01: The Girl Who Raised Pigeons,bath,2
01: The Girl Who Raised Pigeons,bathroom,3
01: The Girl Who Raised Pigeons,bathtub,1
01: The Girl Who Raised Pigeons,beads,1
01: The Girl Who Raised Pigeons,beautiful,1
01: The Girl Who Raised Pigeons,beaver,2
01: The Girl Who Raised Pigeons,became,3
01: The Girl Who Raised Pigeons,become,1
01: The Girl Who Raised Pigeons,bed,11
01: The Girl Who Raised Pigeons,bedroom,1
01: The Girl Who Raised Pigeons,bedrooms,2
01: The Girl Who Raised Pigeons,began,12
01: The Girl Who Raised Pigeons,begin,3
01: The Girl Who Raised Pigeons,behind,2
01: The Girl Who Raised Pigeons,bein,1
01: The Girl Who Raised Pigeons,beitanet,1
01: The Girl Who Raised Pigeons,believe,1
01: The Girl Who Raised Pigeons,believed,3
01: The Girl Who Raised Pigeons,bench,2
01: The Girl Who Raised Pigeons,bent,1
01: The Girl Who Raised Pigeons,beryersej,1
01: The Girl Who Raised Pigeons,beseech,1
01: The Girl Who Raised Pigeons,beside,6
01: The Girl Who Raised Pigeons,best,2
01: The Girl Who Raised Pigeons,bestow,1
01: The Girl Who Raised Pigeons,betsy,44
01: The Girl Who Raised Pigeons,beyond,6
01: The Girl Who Raised Pigeons,bgainiin,1
01: The Girl Who Raised Pigeons,big,2
01: The Girl Who Raised Pigeons,bigger,1
01: The Girl Who Raised Pigeons,bill,1
01: The Girl Who Raised Pigeons,bird,14
01: The Girl Who Raised Pigeons,birds,29
01: The Girl Who Raised Pigeons,bits,1
01: The Girl Who Raised Pigeons,bkotne,1
01: The Girl Who Raised Pigeons,black,2
01: The Girl Who Raised Pigeons,blanket,2
01: The Girl Who Raised Pigeons,blankets,1
01: The Girl Who Raised Pigeons,blew,1
01: The Girl Who Raised Pigeons,blindfold,1
01: The Girl Who Raised Pigeons,blindfolded,1
01: The Girl Who Raised Pigeons,blinked,1
01: The Girl Who Raised Pigeons,blinking,1
01: The Girl Who Raised Pigeons,block,2
01: The Girl Who Raised Pigeons,blocks,1
01: The Girl Who Raised Pigeons,blood,4
01: The Girl Who Raised Pigeons,blue,4
01: The Girl Who Raised Pigeons,board,2
01: The Girl Who Raised Pigeons,bobbing,1
01: The Girl Who Raised Pigeons,bodies,4
01: The Girl Who Raised Pigeons,body,2
01: The Girl Who Raised Pigeons,bonnet,1
01: The Girl Who Raised Pigeons,book,1
01: The Girl Who Raised Pigeons,books,2
01: The Girl Who Raised Pigeons,bored,1
01: The Girl Who Raised Pigeons,born,3
01: The Girl Who Raised Pigeons,bosco,1
01: The Girl Who Raised Pigeons,boss,1
01: The Girl Who Raised Pigeons,bottom,1
01: The Girl Who Raised Pigeons,bouncing,1
01: The Girl Who Raised Pigeons,bounding,1
01: The Girl Who Raised Pigeons,bout,6
01: The Girl Who Raised Pigeons,bowls,2
01: The Girl Who Raised Pigeons,box,1
01: The Girl Who Raised Pigeons,boy,7
01: The Girl Who Raised Pigeons,boyfriend,1
01: The Girl Who Raised Pigeons,boys,6
01: The Girl Who Raised Pigeons,brain,1
01: The Girl Who Raised Pigeons,brand,1
01: The Girl Who Raised Pigeons,breakfast,1
01: The Girl Who Raised Pigeons,breast,3
01: The Girl Who Raised Pigeons,breath,1
01: The Girl Who Raised Pigeons,breathe,1
01: The Girl Who Raised Pigeons,brighter,1
01: The Girl Who Raised Pigeons,bring,2
01: The Girl Who Raised Pigeons,bringing,1
01: The Girl Who Raised Pigeons,broom,2
01: The Girl Who Raised Pigeons,brother,1
01: The Girl Who Raised Pigeons,brothers,1
01: The Girl Who Raised Pigeons,brought,1
01: The Girl Who Raised Pigeons,brow,1
01: The Girl Who Raised Pigeons,brown,1
01: The Girl Who Raised Pigeons,bubble,1
01: The Girl Who Raised Pigeons,built,1
01: The Girl Who Raised Pigeons,bulldog,1
01: The Girl Who Raised Pigeons,bullied,2
01: The Girl Who Raised Pigeons,buried,2
01: The Girl Who Raised Pigeons,burlap,2
01: The Girl Who Raised Pigeons,bury,1
01: The Girl Who Raised Pigeons,buster,1
01: The Girl Who Raised Pigeons,buttons,1
01: The Girl Who Raised Pigeons,c,1
01: The Girl Who Raised Pigeons,ca,1
01: The Girl Who Raised Pigeons,cab,3
01: The Girl Who Raised Pigeons,call,3
01: The Girl Who Raised Pigeons,called,8
01: The Girl Who Raised Pigeons,came,11
01: The Girl Who Raised Pigeons,candy,8
01: The Girl Who Raised Pigeons,capitol,6
01: The Girl Who Raised Pigeons,care,4
01: The Girl Who Raised Pigeons,carleton,3
01: The Girl Who Raised Pigeons,carlos,3
01: The Girl Who Raised Pigeons,carriage,6
01: The Girl Who Raised Pigeons,carried,1
01: The Girl Who Raised Pigeons,carry,1
01: The Girl Who Raised Pigeons,casket,1
01: The Girl Who Raised Pigeons,castleberg,1
01: The Girl Who Raised Pigeons,catch,1
01: The Girl Who Raised Pigeons,catered,1
01: The Girl Who Raised Pigeons,caught,3
01: The Girl Who Raised Pigeons,cause,2
01: The Girl Who Raised Pigeons,caused,1
