story,lowercase,count
01: The Girl Who Raised Pigeons,across,9
01: The Girl Who Raised Pigeons,ai,7
01: The Girl Who Raised Pigeons,air,6
01: The Girl Who Raised Pigeons,ann,45
01: The Girl Who Raised Pigeons,around,11
01: The Girl Who Raised Pigeons,asked,9
01: The Girl Who Raised Pigeons,away,22
01: The Girl Who Raised Pigeons,baby,10
01: The Girl Who Raised Pigeons,back,37
01: The Girl Who Raised Pigeons,barber,6
01: The Girl Who Raised Pigeons,bed,11
01: The Girl Who Raised Pigeons,began,12
01: The Girl Who Raised Pigeons,beside,6
01: The Girl Who Raised Pigeons,betsy,44
01: The Girl Who Raised Pigeons,beyond,6
01: The Girl Who Raised Pigeons,bird,14
01: The Girl Who Raised Pigeons,birds,29
01: The Girl Who Raised Pigeons,bout,6
01: The Girl Who Raised Pigeons,boy,7
01: The Girl Who Raised Pigeons,boys,6
01: The Girl Who Raised Pigeons,called,8
01: The Girl Who Raised Pigeons,came,11
01: The Girl Who Raised Pigeons,candy,8
01: The Girl Who Raised Pigeons,capitol,6
01: The Girl Who Raised Pigeons,carriage,6
01: The Girl Who Raised Pigeons,child,17
01: The Girl Who Raised Pigeons,children,14
01: The Girl Who Raised Pigeons,city,9
01: The Girl Who Raised Pigeons,clara,17
01: The Girl Who Raised Pigeons,come,10
01: The Girl Who Raised Pigeons,coop,28
01: The Girl Who Raised Pigeons,corner,7
01: The Girl Who Raised Pigeons,could,29
01: The Girl Who Raised Pigeons,cry,6
01: The Girl Who Raised Pigeons,daddy,8
01: The Girl Who Raised Pigeons,darlene,10
01: The Girl Who Raised Pigeons,daughter,8
01: The Girl Who Raised Pigeons,day,11
01: The Girl Who Raised Pigeons,days,6
01: The Girl Who Raised Pigeons,dead,13
01: The Girl Who Raised Pigeons,done,6
01: The Girl Who Raised Pigeons,door,12
01: The Girl Who Raised Pigeons,em,11
01: The Girl Who Raised Pigeons,enough,9
01: The Girl Who Raised Pigeons,etta,7
01: The Girl Who Raised Pigeons,even,16
01: The Girl Who Raised Pigeons,everything,8
01: The Girl Who Raised Pigeons,face,12
01: The Girl Who Raised Pigeons,far,9
01: The Girl Who Raised Pigeons,father,15
01: The Girl Who Raised Pigeons,find,6
01: The Girl Who Raised Pigeons,first,27
01: The Girl Who Raised Pigeons,found,8
01: The Girl Who Raised Pigeons,front,7
01: The Girl Who Raised Pigeons,gave,9
01: The Girl Who Raised Pigeons,get,14
01: The Girl Who Raised Pigeons,girl,22
01: The Girl Who Raised Pigeons,go,20
01: The Girl Who Raised Pigeons,going,11
01: The Girl Who Raised Pigeons,gon,9
01: The Girl Who Raised Pigeons,gone,7
01: The Girl Who Raised Pigeons,good,9
01: The Girl Who Raised Pigeons,got,16
01: The Girl Who Raised Pigeons,hand,8
01: The Girl Who Raised Pigeons,head,17
01: The Girl Who Raised Pigeons,home,18
01: The Girl Who Raised Pigeons,house,19
01: The Girl Who Raised Pigeons,jenny,42
01: The Girl Who Raised Pigeons,kitchen,16
01: The Girl Who Raised Pigeons,knew,16
01: The Girl Who Raised Pigeons,know,18
01: The Girl Who Raised Pigeons,known,7
01: The Girl Who Raised Pigeons,last,9
01: The Girl Who Raised Pigeons,later,8
01: The Girl Who Raised Pigeons,left,6
01: The Girl Who Raised Pigeons,let,7
01: The Girl Who Raised Pigeons,life,11
01: The Girl Who Raised Pigeons,light,8
01: The Girl Who Raised Pigeons,like,14
01: The Girl Who Raised Pigeons,little,8
01: The Girl Who Raised Pigeons,lived,6
01: The Girl Who Raised Pigeons,long,11
01: The Girl Who Raised Pigeons,look,12
01: The Girl Who Raised Pigeons,looked,11
01: The Girl Who Raised Pigeons,looking,6
01: The Girl Who Raised Pigeons,made,17
01: The Girl Who Raised Pigeons,make,9
01: The Girl Who Raised Pigeons,man,11
01: The Girl Who Raised Pigeons,miles,21
01: The Girl Who Raised Pigeons,mind,9
01: The Girl Who Raised Pigeons,miss,46
01: The Girl Who Raised Pigeons,month,6
01: The Girl Who Raised Pigeons,morning,23
01: The Girl Who Raised Pigeons,mother,7
01: The Girl Who Raised Pigeons,moved,7
01: The Girl Who Raised Pigeons,much,7
01: The Girl Who Raised Pigeons,myrtle,12
01: The Girl Who Raised Pigeons,na,12
01: The Girl Who Raised Pigeons,nest,7
01: The Girl Who Raised Pigeons,never,18
01: The Girl Who Raised Pigeons,next,6
01: The Girl Who Raised Pigeons,night,11
01: The Girl Who Raised Pigeons,north,6
01: The Girl Who Raised Pigeons,nothing,8
01: The Girl Who Raised Pigeons,oh,6
01: The Girl Who Raised Pigeons,old,17
01: The Girl Who Raised Pigeons,one,39
01: The Girl Who Raised Pigeons,onto,6
01: The Girl Who Raised Pigeons,people,12
01: The Girl Who Raised Pigeons,peoples,6
01: The Girl Who Raised Pigeons,pigeon,14
01: The Girl Who Raised Pigeons,pigeons,30
01: The Girl Who Raised Pigeons,place,11
01: The Girl Who Raised Pigeons,puppy,6
01: The Girl Who Raised Pigeons,put,11
01: The Girl Who Raised Pigeons,ralph,17
01: The Girl Who Raised Pigeons,robert,36
