name,born,died,bornCountry_original,bornCountry_now,bornCity_original,bornCity_now,bornLocation,bornLong,bornLat,bornCoordinates,diedCountry_original,diedCountry_now,diedCity_original,diedCity_now,diedLocation,diedLong,diedLat,diedCoordinates,gender,year,category,motivation,institutionName,institutionCity,institutionCountry
Gerhart Johann Robert Hauptmann,1862-11-15,1946-06-06,Prussia (now Germany),Germany,Bad Salzbrunn,Bad Salzbrunn,"Bad Salzbrunn, Germany",,,,Germany (now Poland),Poland,Agnetendorf (now Jagniatków),Jagniatków,"Jagniatków, Poland",15.6171685,50.8221069,"50.8221069, 15.6171685",male,1912,literature,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",,,
Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,1961-09-18,Sweden,Sweden,Jönköping,Jönköping,"Jönköping, Sweden",14.1617876,57.7826137,"57.7826137, 14.1617876",Northern Rhodesia (now Zambia),Zambia,Ndola,Ndola,"Ndola, Zambia",28.6498144,-12.9906407,"-12.9906407, 28.6498144",male,1961,peace,,,,
Ivo Andric,1892-10-10,1975-03-13,Bosnia (now Bosnia and Herzegovina),Bosnia and Herzegovina,Dolac,Dolac,"Dolac, Bosnia and Herzegovina",17.9900999,44.0860686,"44.0860686, 17.9900999",Yugoslavia (now Serbia),Serbia,Belgrade,Belgrade,"Belgrade, Serbia",20.4489216,44.786568,"44.786568, 20.4489216",male,1961,literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",,,
Il´ja Mikhailovich Frank,1908-10-23,1990-06-22,Russia,Russia,Leningrad (now Saint Petersburg),Saint Petersburg,"Saint Petersburg, Russia",30.3350986,59.9342802,"59.9342802, 30.3350986",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect""",University of Moscow,Moscow,USSR
Il´ja Mikhailovich Frank,1908-10-23,1990-06-22,Russia,Russia,Leningrad (now Saint Petersburg),Saint Petersburg,"Saint Petersburg, Russia",30.3350986,59.9342802,"59.9342802, 30.3350986",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,USSR
Pyotr Leonidovich Kapitsa,1894-07-09,1984-04-08,Russian Empire (now Russia),Russia,Kronshtadt,Kronshtadt,"Kronshtadt, Russia",29.7655453,59.9959303,"59.9959303, 29.7655453",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1978,physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",Academy of Sciences,Moscow,USSR
Leonid Vitaliyevich Kantorovich,1912-01-19,1986-04-07,Russian Empire (now Russia),Russia,St. Petersburg,St. Petersburg,"St. Petersburg, Russia",30.3350986,59.9342802,"59.9342802, 30.3350986",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1975,economics,"""for their contributions to the theory of optimum allocation of resources""",Academy of Sciences,Moscow,USSR
Lev Davidovich Landau,1908-01-22,1968-04-01,Russian Empire (now Azerbaijan),Azerbaijan,Baku,Baku,"Baku, Azerbaijan",49.8670924,40.4092617,"40.4092617, 49.8670924",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1962,physics,"""for his pioneering theories for condensed matter, especially liquid helium""",Academy of Sciences,Moscow,USSR
Igor Yevgenyevich Tamm,1895-07-08,1971-04-12,Russia,Russia,Vladivostok,Vladivostok,"Vladivostok, Russia",131.8869243,43.1198091,"43.1198091, 131.8869243",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect""",University of Moscow,Moscow,USSR
Igor Yevgenyevich Tamm,1895-07-08,1971-04-12,Russia,Russia,Vladivostok,Vladivostok,"Vladivostok, Russia",131.8869243,43.1198091,"43.1198091, 131.8869243",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,USSR
Andrei Dmitrievich Sakharov,1921-05-21,1989-12-14,Russia,Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",USSR (now Russia),Russia,Moscow,Moscow,"Moscow, Russia",37.6172999,55.755826,"55.755826, 37.6172999",male,1975,peace,,,,
Max Born,1882-12-11,1970-01-05,Germany (now Poland),Poland,Breslau (now Wroclaw),Wroclaw,"Wroclaw, Poland",17.0385376,51.1078852,"51.1078852, 17.0385376",West Germany (now Germany),Germany,Göttingen,Göttingen,"Göttingen, Germany",9.9158035,51.5412804,"51.5412804, 9.9158035",male,1954,physics,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",Edinburgh University,Edinburgh,United Kingdom
Kurt Alder,1902-07-10,1958-06-20,Prussia (now Poland),Poland,Königshütte (now Chorzów),Chorzów,"Chorzów, Poland",18.9545728,50.2974884,"50.2974884, 18.9545728",West Germany (now Germany),Germany,Cologne,Cologne,"Cologne, Germany",6.9602786,50.937531,"50.937531, 6.9602786",male,1950,chemistry,"""for their discovery and development of the diene synthesis""",Cologne University,Cologne,Federal Republic of Germany
Gerhard Domagk,1895-10-30,1964-04-24,Germany (now Poland),Poland,Lagow,Lagow,"Lagow, Poland",15.2968448,52.3330797,"52.3330797, 15.2968448",West Germany (now Germany),Germany,Burgberg,Burgberg,"Burgberg, Germany",10.2850734,47.5376846,"47.5376846, 10.2850734",male,1939,medicine,"""for the discovery of the antibacterial effects of prontosil""",Munster University,Munster,Germany
George de Hevesy,1885-08-01,1966-07-05,Austria-Hungary (now Hungary),Hungary,Budapest,Budapest,"Budapest, Hungary",19.040235,47.497912,"47.497912, 19.040235",West Germany (now Germany),Germany,Freiburg im Breisgau,Freiburg im Breisgau,"Freiburg im Breisgau, Germany",7.8421043,47.9990077,"47.9990077, 7.8421043",male,1943,chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Stockholm University,Stockholm,Sweden
Max Karl Ernst Ludwig Planck,1858-04-23,1947-10-04,Schleswig (now Germany),Germany,Kiel,Kiel,"Kiel, Germany",10.1227651,54.3232927,"54.3232927, 10.1227651",West Germany (now Germany),Germany,Göttingen,Göttingen,"Göttingen, Germany",9.9158035,51.5412804,"51.5412804, 9.9158035",male,1918,physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Berlin University,Berlin,Germany
Richard Kuhn,1900-12-03,1967-07-31,Austria-Hungary (now Austria),Austria,Vienna,Vienna,"Vienna, Austria",16.3738189,48.2081743,"48.2081743, 16.3738189",West Germany (now Germany),Germany,Heidelberg,Heidelberg,"Heidelberg, Germany",8.6724335,49.3987524,"49.3987524, 8.6724335",male,1938,chemistry,"""for his work on carotenoids and vitamins""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany
Richard Kuhn,1900-12-03,1967-07-31,Austria-Hungary (now Austria),Austria,Vienna,Vienna,"Vienna, Austria",16.3738189,48.2081743,"48.2081743, 16.3738189",West Germany (now Germany),Germany,Heidelberg,Heidelberg,"Heidelberg, Germany",8.6724335,49.3987524,"49.3987524, 8.6724335",male,1938,chemistry,"""for his work on carotenoids and vitamins""",University of Heidelberg,Heidelberg,Germany
Max von Laue,1879-10-09,1960-04-23,Germany,Germany,Pfaffendorf,Pfaffendorf,"Pfaffendorf, Germany",14.0748638,50.911275,"50.911275, 14.0748638",West Germany (now Germany),Germany,Berlin,Berlin,"Berlin, Germany",13.404954,52.5200066,"52.5200066, 13.404954",male,1914,physics,"""for his discovery of the diffraction of X-rays by crystals""",Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany
Johannes Stark,1874-04-15,1957-06-21,Germany,Germany,Schickenhof,Schickenhof,"Schickenhof, Germany",11.0874083,49.4558488,"49.4558488, 11.0874083",West Germany (now Germany),Germany,Traunstein,Traunstein,"Traunstein, Germany",12.6384037,47.8677574,"47.8677574, 12.6384037",male,1919,physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",Greifswald University,Greifswald,Germany
James Franck,1882-08-26,1964-05-21,Germany,Germany,Hamburg,Hamburg,"Hamburg, Germany",9.9936819,53.5510846,"53.5510846, 9.9936819",West Germany (now Germany),Germany,Göttingen,Göttingen,"Göttingen, Germany",9.9158035,51.5412804,"51.5412804, 9.9158035",male,1925,physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",Goettingen University,Göttingen,Germany
Werner Karl Heisenberg,1901-12-05,1976-02-01,Germany,Germany,Würzburg,Würzburg,"Würzburg, Germany",9.9533548,49.7913044,"49.7913044, 9.9533548",West Germany (now Germany),Germany,Munich,Munich,"Munich, Germany",11.5819805,48.1351253,"48.1351253, 11.5819805",male,1932,physics,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",Leipzig University,Leipzig,Germany
Walther Bothe,1891-01-08,1957-02-08,Germany,Germany,Oranienburg,Oranienburg,"Oranienburg, Germany",13.2366809,52.7537284,"52.7537284, 13.2366809",West Germany (now Germany),Germany,Heidelberg,Heidelberg,"Heidelberg, Germany",8.6724335,49.3987524,"49.3987524, 8.6724335",male,1954,physics,"""for the coincidence method and his discoveries made therewith""",University of Heidelberg,Heidelberg,Federal Republic of Germany
Walther Bothe,1891-01-08,1957-02-08,Germany,Germany,Oranienburg,Oranienburg,"Oranienburg, Germany",13.2366809,52.7537284,"52.7537284, 13.2366809",West Germany (now Germany),Germany,Heidelberg,Heidelberg,"Heidelberg, Germany",8.6724335,49.3987524,"49.3987524, 8.6724335",male,1954,physics,"""for the coincidence method and his discoveries made therewith""",Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany
