lat,lon,adpSum,onWeb,Flags,fulladdr,DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Population.Count,Date.of.Last.Use,Date.of.First.Use,FY18.Max.Population.Count,FY18.ADP,FY17.ADP,FY16.ADP,FY15.ADP,FY14.ADP,FY18.Facility.Bookins,FY17.Facility.Bookins,FY16.Facility.Bookins,FY15.Facility.Bookins,FY18.Non.Criminal,FY18.Criminal,FY17.Non.Criminal,FY17.Criminal,FY16.Non.Criminal,FY16.Criminal,FY15.Non.Criminal,FY15.Criminal,ICE.Threat.Level.1,ICE.Threat.Level.2,ICE.Threat.Level.3,No.ICE.Threat.Level,Facility.Operator,FY17.Calendar.Days.in.Use,FY17...of.Days.in.Use,FY17.Total.Mandays,FY17.Max.Pop.Count,geocodelat,geocodelon
28.895,-99.1212,8391,28.895,,566 VETERANS DRIVE PEARSALL TX 78061,STCDFTX,SOUTH TEXAS DETENTION COMPLEX,566 VETERANS DRIVE,PEARSALL,FRIO,TX,78061,5,SNA,STC,CDF,CDF,Yes,1735,04.11.2017,27.06.2005,1811,1754,1640,1728,1547,1722,2056,13065,15317,15513,1182,573,1120,520,1115,613,944,603,145,112,311,1187,GEO,372,1.02,598554,1854,28.896498,-99.116863
32.0366,-84.7718,8004,32.0366,,146 CCA ROAD LUMPKIN GA 31815,STWRTGA,STEWART DETENTION CENTER,146 CCA ROAD,LUMPKIN,STEWART,GA,31815,11,ATL,ATL,IGSA,DIGSA,Yes,1917,04.11.2017,01.09.2000,1947,1802,1840,1369,1374,1619,2379,11022,7583,9455,666,1136,861,979,585,785,363,1011,423,344,365,671,CCA,372,1.02,671515,1992,32.037982,-84.772465
34.5592,-117.441,7265,34.5592,,10250 RANCHO ROAD ADELANTO CA 92301,ADLNTCA,ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,SAN BERNARDINO,CA,92301,9,LOS,LOS,IGSA,DIGSA,Yes,1747,04.11.2017,29.08.2011,1767,1691,1713,1472,1180,1209,1870,8623,10531,8103,721,970,874,840,626,846,237,942,595,206,164,726,GEO,372,1.02,625414,1918,34.557721,-117.442524
32.8177,-111.52,7096,32.8177,,1705 EAST HANNA RD. ELOY AZ 85131,EAZ,ELOY FEDERAL CONTRACT FACILITY,1705 EAST HANNA RD.,ELOY,PINAL,AZ,85131,9,PHO,EAZ,IGSA,DIGSA,Yes,1436,04.11.2017,10.03.1991,1444,1401,1378,1433,1401,1483,1310,6873,6254,7079,780,621,759,619,742,691,711,690,230,154,232,785,CCA,372,1.02,502952,1489,32.821231,-111.549772
47.2491,-122.421,6757,47.2491,,1623 E. J STREET TACOMA WA 98421,CSCNWWA,NORTHWEST DETENTION CENTER,1623 E. J STREET,TACOMA,PIERCE,WA,98421,9,SEA,TAC,CDF,CDF,Yes,1421,04.11.2017,07.06.2001,1438,1391,1423,1411,1132,1400,1556,5961,6019,5207,690,701,655,768,682,729,452,680,358,166,174,693,GEO,372,1.02,519386,1563,47.250214,-122.422746
31.7083,-92.1524,5467,31.7083,,830 PINEHILL ROAD JENA LA 71342,JENADLA,JENA/LASALLE DETENTION FACILITY,830 PINEHILL ROAD,JENA,LA SALLE,LA,71342,5,NOL,OAK,IGSA,DIGSA,Yes,1100,04.11.2017,22.10.2007,1214,1165,1117,1105,1047,1033,1730,17421,12149,12785,416,749,398,719,457,647,406,641,344,167,237,418,GEO,372,1.02,407819,1277,31.70821,-92.150612
26.155,-97.3383,5201,26.155,,27991 BUENA VISTA BOULEVARD LOS FRESNOS TX 78566,PIC,PORT ISABEL,27991 BUENA VISTA BOULEVARD,LOS FRESNOS,CAMERON,TX,78566,5,SNA,PIC,SPC,SPC,Yes,1160,04.11.2017,13.04.1985,1166,1094,1003,1104,1008,992,4926,49608,64263,67865,938,156,838,165,898,206,812,197,56,38,61,939,AHTNA (GUARD),369,1.01,366163,1244,26.151929,-97.350906
29.9497,-95.3122,4581,29.9497,,15850 EXPORT PLAZA DRIVE HOUSTON TX 77032,HOUICDF,HOUSTON CONTRACT DETENTION FACILITY,15850 EXPORT PLAZA DRIVE,HOUSTON,HARRIS,TX,77032,5,HOU,HOU,CDF,CDF,Yes,932,04.11.2017,21.07.1986,979,931,932,916,860,942,1784,14327,15021,16596,284,647,226,706,256,660,300,560,349,147,155,281,CCA,372,1.02,340063,1131,29.948868,-95.312927
28.6579,-99.2004,4311,28.6579,,1925 WEST HIGHWAY 85 DILLEY TX 78017,STFRCTX,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,1925 WEST HIGHWAY 85,DILLEY,FRIO,TX,78017,5,SNA,LRD,IGSA,FAMILY,Yes,1593,04.11.2017,19.12.2014,1715,1553,994,1015,749,0,1443,25627,28882,8757,1550,3,993,2,1013,2,745,4,0,0,3,1550,CCA,372,1.02,362964,2046,28.663086,-99.199027
32.0768,-106.255,4163,32.0768,,26 MCGREGOR RANGE ROAD CHAPARRAL NM 88081,OTRPCNM,OTERO COUNTY PROCESSING CENTER,26 MCGREGOR RANGE ROAD,CHAPARRAL,DONA ANA,NM,88081,10,ELP,OOP,IGSA,DIGSA,Yes,958,04.11.2017,08.12.2001,988,913,735,844,826,845,997,16156,18949,16941,454,459,355,380,181,664,210,615,123,113,221,456,M&TC,372,1.02,268160,994,32.016469,-106.41112
