id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US0101,101,Alabama,1,ta-ordinal-st-m,republican,https://en.wikipedia.org/wiki/Alabama%27s_1st_congressional_district,Bradley Byrne,https://upload.wikimedia.org/wikipedia/commons/7/71/Rep_Bradley_Byrne_%28cropped%29.jpg,0
5001500US0102,102,Alabama,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/Alabama%27s_2nd_congressional_district,Martha Roby,https://upload.wikimedia.org/wikipedia/commons/5/55/Martha_roby_113_congressional_portrait_%28cropped%29.jpg,38577.4
5001500US0103,103,Alabama,3,ta-ordinal-rd-m,republican,https://en.wikipedia.org/wiki/Alabama%27s_3rd_congressional_district,Mike Rogers,https://upload.wikimedia.org/wikipedia/commons/e/ee/Mike_Rogers_official_photo_%28cropped%29.jpg,0
5001500US0104,104,Alabama,4,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Alabama%27s_4th_congressional_district,Robert Aderholt,https://upload.wikimedia.org/wikipedia/commons/9/9f/Rep._Robert_B._Aderholt_%28cropped%29.jpg,171873.55
5001500US0105,105,Alabama,5,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Alabama%27s_5th_congressional_district,Mo Brooks,https://upload.wikimedia.org/wikipedia/commons/b/b6/Mo_Brooks_Portrait_%28cropped%29.jpg,40346
5001500US0106,106,Alabama,6,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Alabama%27s_6th_congressional_district,Gary Palmer,https://upload.wikimedia.org/wikipedia/commons/9/97/Gary_Palmer_official_congressional_photo_%28cropped%29.jpg,2515331.75
5001500US0107,107,Alabama,7,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/Alabama%27s_7th_congressional_district,Terri Sewell,https://upload.wikimedia.org/wikipedia/commons/5/5f/Terri_Sewell_official_photo_%28cropped%29.jpg,1322097.6
5001500US0200,200,Alaska,0,ta-at-large-district,republican,https://en.wikipedia.org/wiki/Alaska%27s_at-large_congressional_district,Don Young,https://upload.wikimedia.org/wikipedia/commons/1/19/Don_Young%2C_official_115th_Congress_photo_portrait_%28cropped%29.jpg,889752125.2799999
5001500US0401,401,Arizona,1,ta-ordinal-st-m,democrat,https://en.wikipedia.org/wiki/Arizona%27s_1st_congressional_district,Tom O'Halleran,https://upload.wikimedia.org/wikipedia/commons/7/7b/Tom_O%27Halleran_official_portrait_%28cropped%29.jpg,34306
5001500US0402,402,Arizona,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/Arizona%27s_2nd_congressional_district,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/2/27/Martha_McSally_official_portrait_%28cropped%29.jpg,44939.12
5001500US0403,403,Arizona,3,ta-ordinal-rd-m,democrat,https://en.wikipedia.org/wiki/Arizona%27s_3rd_congressional_district,Raúl Grijalva,https://upload.wikimedia.org/wikipedia/commons/1/16/Raul_Grijalva_Official_Portrait%2C_2015_%28cropped%29.jpg,25428.199999999997
5001500US0404,404,Arizona,4,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Arizona%27s_4th_congressional_district,Paul Gosar,https://upload.wikimedia.org/wikipedia/commons/9/9f/Paul_Gosar_official_portrait_September_2016_%28cropped%29.jpg,13843.06
5001500US0405,405,Arizona,5,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Arizona%27s_5th_congressional_district,Andy Biggs,https://upload.wikimedia.org/wikipedia/commons/3/3b/Andy_Biggs%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,30436.57
5001500US0406,406,Arizona,6,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Arizona%27s_6th_congressional_district,David Schweikert,https://upload.wikimedia.org/wikipedia/commons/3/30/David_Schweikert%2C_official_portrait%2C_112th_Congress_2_%28cropped%29.jpg,4724541.35
5001500US0407,407,Arizona,7,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/Arizona%27s_7th_congressional_district,Ruben Gallego,https://upload.wikimedia.org/wikipedia/commons/6/60/Ruben_Gallego_official_photo_%28cropped%29.jpg,705433.12
5001500US0408,408,Arizona,8,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Arizona%27s_8th_congressional_district,Debbie Lesko,https://upload.wikimedia.org/wikipedia/commons/c/cd/Debbie_Lesko%2C_official_portrait%2C_115th_Congress.jpg,40960
5001500US0409,409,Arizona,9,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/Arizona%27s_9th_congressional_district,Kyrsten Sinema,https://upload.wikimedia.org/wikipedia/commons/2/25/Rep_Kyrsten_Sinema%2C_official_portrait_%28cropped%29.jpg,821111.0700000001
5001500US0501,501,Arkansas,1,ta-ordinal-st-m,republican,https://en.wikipedia.org/wiki/Arkansas%27s_1st_congressional_district,Rick Crawford,https://upload.wikimedia.org/wikipedia/commons/6/64/Rick_Crawford_official_photo_%28cropped%29.jpg,0
5001500US0502,502,Arkansas,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/Arkansas%27s_2nd_congressional_district,French Hill,https://upload.wikimedia.org/wikipedia/commons/4/43/French_Hill_official_photo_%28cropped%29.jpg,19129.43
5001500US0503,503,Arkansas,3,ta-ordinal-rd-m,republican,https://en.wikipedia.org/wiki/Arkansas%27s_3rd_congressional_district,Steve Womack,https://upload.wikimedia.org/wikipedia/commons/1/19/Steve_Womack%2C_Official_Portrait%2C_112th_Congress_-_Hi_Res_%28cropped%29.jpg,0
5001500US0504,504,Arkansas,4,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/Arkansas%27s_4th_congressional_district,Bruce Westerman,https://upload.wikimedia.org/wikipedia/commons/d/d8/Bruce_Westerman%2C_115th_official_photo_%28cropped%29.jpg,0
5001500US0601,601,California,1,ta-ordinal-st-m,republican,https://en.wikipedia.org/wiki/California%27s_1st_congressional_district,Doug LaMalfa,https://upload.wikimedia.org/wikipedia/commons/d/dd/Doug_LaMalfa_113th_Congress_official_photo_%28cropped%29.jpg,0
5001500US0602,602,California,2,ta-ordinal-nd-m,democrat,https://en.wikipedia.org/wiki/California%27s_2nd_congressional_district,Jared Huffman,https://upload.wikimedia.org/wikipedia/commons/8/84/Jared_Huffman_official_photo_%28cropped%29.png,71600
5001500US0603,603,California,3,ta-ordinal-rd-m,democrat,https://en.wikipedia.org/wiki/California%27s_3rd_congressional_district,John Garamendi,https://upload.wikimedia.org/wikipedia/commons/f/fb/John_Garamendi_113th_Congress.jpg,307967
5001500US0604,604,California,4,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/California%27s_4th_congressional_district,Tom McClintock,https://upload.wikimedia.org/wikipedia/commons/5/5a/Tom_McClintock_official_portrait_%28cropped%29.jpg,4306605.08
