script_id,imdb_character_name,words,gender,age
280,betty,311,f,35
280,carolyn johnson,873,f,NULL
280,eleanor,138,f,NULL
280,francesca johns,2251,f,46
280,madge,190,f,46
280,michael johnson,723,m,38
280,robert kincaid,1908,m,65
623,bobby korfin,328,m,NULL
623,daphne handlova,409,f,28
623,deputy chief fi,347,m,NULL
623,detective eddie,2020,m,58
623,detective leon ,366,m,53
623,detective tommy,160,m,25
623,emil slovak,1337,m,39
623,fire marshal jo,1683,m,33
623,honey the hooke,148,f,NULL
623,nicolette karas,801,f,34
623,oleg razgul,608,m,34
623,robert hawkins,596,m,46
623,rose hearn,166,f,26
623,stephen geller,139,m,25
625,dr. andrei smys,225,m,42
625,dr. bill michae,151,m,47
625,dr. dave bowman,780,m,32
625,dr. frank poole,752,m,31
625,dr. heywood r. ,942,m,46
625,dr. ralph halvo,918,m,59
625,elena,155,f,37
625,miller,141,m,40
625,pilot,337,m,NULL
630,agent brzowski,277,m,NULL
630,frank slaughter,1495,m,32
630,gedny,179,m,NULL
630,jacob elinsky,1292,m,35
630,kostya novotny,790,m,35
630,lichter,215,m,NULL
630,louis volandes,115,m,39
630,marcuse,126,m,26
630,mary d'annunzio,256,f,20
630,monty brogan,3440,m,33
630,naturelle rivie,817,f,23
630,senka valghobek,186,m,41
630,simon,209,m,32
630,trey,116,m,NULL
630,uncle nikolai,619,m,44
633,clive park,273,m,NULL
633,danny gopnik,647,m,15
633,don,739,m,NULL
633,gar,140,m,NULL
633,hebrew school t,146,m,NULL
633,judith gopnik,227,f,NULL
633,larry gopnik,5071,m,41
633,mimi,219,f,NULL
633,mitch brandt,309,m,NULL
633,reb groshkover,111,m,NULL
633,sarah,290,f,NULL
633,shtetl wife,130,f,NULL
633,sy ableman,370,m,53
633,uncle arthur,357,m,53
640,buckaroo banzai,1723,m,37
640,general catburd,334,m,54
640,highway patrolm,126,m,36
640,john emdall,226,f,46
640,lord john whorf,330,m,39
640,new jersey,132,m,32
640,penny priddy,653,f,30
640,perfect tommy,464,m,28
640,president widma,303,m,49
640,professor hikit,301,m,53
640,rawhide,493,m,25
640,reno nevada,360,m,40
640,secretary of de,687,m,48
642,"alex, the pimp",156,m,NULL
642,delores 'jacks',686,f,39
642,detective lukic,199,m,NULL
642,kurt zagon,914,m,60
642,lieutenant stro,169,m,NULL
642,machete man,113,m,NULL
642,nelson fox,667,m,46
642,nico toscani,3835,m,36
642,rosa toscani,168,f,66
642,sara toscani,198,f,30
642,tony salvano,203,m,39
642,uncle branca,271,m,NULL
642,watanabe,265,f,NULL
647,agent gibbs,299,m,42
647,alice marshall,371,f,13
647,boris bazylev,115,m,42
647,chief of staff ,319,m,48
647,defense secreta,210,m,61
647,f-15 leader col,293,m,38
647,general northwo,202,m,50
647,grace marshall,497,f,41
647,ivan korshunov,1075,m,39
647,major caldwell,319,m,47
647,nsa advisor jac,113,m,49
647,president james,1491,m,55
647,press secretary,235,f,42
647,reporter #1,123,m,42
647,vice president ,389,f,50
647,white house aid,120,m,34
648,air controller ,162,m,63
648,bernice,124,f,NULL
648,captain oveur,324,m,54
648,dr. rumack,806,m,54
648,elaine,904,f,25
648,kramer,1191,m,61
648,milton,217,m,NULL
648,murdock,268,m,33
648,randy,472,f,24
648,ted striker,1016,m,33
650,captain oveur,346,m,56
650,dr. rumack,133,m,56
650,elaine,930,f,27
650,hallick,170,m,NULL
650,jacobs,139,m,35
650,jimmy wilson,127,m,11
650,kramer,382,m,NULL
650,kruger,276,m,51
650,mary,289,f,NULL
650,simon,392,m,45
650,stella,363,f,NULL
650,ted,1646,m,NULL
650,testa,122,f,25
650,the commissione,203,m,67
650,the sarge,206,m,61
650,"voice of rok, t",118,m,36
652,capt. warner,139,m,46
