story,lowercase,pos,count
01: The Girl Who Raised Pigeons,across,IN,9
01: The Girl Who Raised Pigeons,ai,VBP,6
01: The Girl Who Raised Pigeons,air,NN,6
01: The Girl Who Raised Pigeons,ann,NNP,45
01: The Girl Who Raised Pigeons,around,IN,8
01: The Girl Who Raised Pigeons,asked,VBD,9
01: The Girl Who Raised Pigeons,away,RB,22
01: The Girl Who Raised Pigeons,baby,NN,10
01: The Girl Who Raised Pigeons,back,RB,31
01: The Girl Who Raised Pigeons,barber,NN,6
01: The Girl Who Raised Pigeons,bed,NN,11
01: The Girl Who Raised Pigeons,began,VBD,12
01: The Girl Who Raised Pigeons,betsy,NNP,44
01: The Girl Who Raised Pigeons,beyond,IN,6
01: The Girl Who Raised Pigeons,bird,NN,14
01: The Girl Who Raised Pigeons,birds,NNS,29
01: The Girl Who Raised Pigeons,bout,NN,6
01: The Girl Who Raised Pigeons,boy,NN,7
01: The Girl Who Raised Pigeons,boys,NNS,6
01: The Girl Who Raised Pigeons,called,VBD,7
01: The Girl Who Raised Pigeons,came,VBD,11
01: The Girl Who Raised Pigeons,candy,NN,8
01: The Girl Who Raised Pigeons,capitol,NNP,6
01: The Girl Who Raised Pigeons,carriage,NN,6
01: The Girl Who Raised Pigeons,child,NN,17
01: The Girl Who Raised Pigeons,children,NNS,14
01: The Girl Who Raised Pigeons,city,NN,9
01: The Girl Who Raised Pigeons,clara,NNP,17
01: The Girl Who Raised Pigeons,come,VB,7
01: The Girl Who Raised Pigeons,coop,NN,28
01: The Girl Who Raised Pigeons,corner,NN,7
01: The Girl Who Raised Pigeons,could,MD,29
01: The Girl Who Raised Pigeons,darlene,NNP,10
01: The Girl Who Raised Pigeons,daughter,NN,8
01: The Girl Who Raised Pigeons,day,NN,11
01: The Girl Who Raised Pigeons,days,NNS,6
01: The Girl Who Raised Pigeons,dead,JJ,13
01: The Girl Who Raised Pigeons,done,VBN,6
01: The Girl Who Raised Pigeons,door,NN,12
01: The Girl Who Raised Pigeons,em,NN,9
01: The Girl Who Raised Pigeons,enough,RB,6
01: The Girl Who Raised Pigeons,etta,NNP,7
01: The Girl Who Raised Pigeons,even,RB,16
01: The Girl Who Raised Pigeons,everything,NN,8
01: The Girl Who Raised Pigeons,face,NN,10
01: The Girl Who Raised Pigeons,far,RB,9
01: The Girl Who Raised Pigeons,father,NN,15
01: The Girl Who Raised Pigeons,find,VB,6
01: The Girl Who Raised Pigeons,first,JJ,19
01: The Girl Who Raised Pigeons,first,RB,8
01: The Girl Who Raised Pigeons,found,VBD,7
01: The Girl Who Raised Pigeons,gave,VBD,9
01: The Girl Who Raised Pigeons,get,VB,13
01: The Girl Who Raised Pigeons,girl,NN,22
01: The Girl Who Raised Pigeons,go,VB,19
01: The Girl Who Raised Pigeons,going,VBG,11
01: The Girl Who Raised Pigeons,gon,VBG,7
01: The Girl Who Raised Pigeons,gone,VBN,7
01: The Girl Who Raised Pigeons,good,JJ,9
01: The Girl Who Raised Pigeons,got,VBD,15
01: The Girl Who Raised Pigeons,hand,NN,8
01: The Girl Who Raised Pigeons,head,NN,17
