Latitude,Longitude,Name,County,State,Address,Duration,Type,Owner
31.168694,-105.365067,West Texas Detention Facility,Tornillo,Texas,"401 South Vaquero Avenue, Sierra Blanca, TX 79851",,,
25.942883,-97.424066,Southwest Key Casa Padre,Cameron,Texas,"7480 Padre Island Hwy, Brownsville, TX 78521",,Juvenile,Southwest Key
26.123897,-97.632978,Southwest Key San Benito/Casa Antigua,Cameron,Texas,"502 E Expressway 83, San Benito, TX 78586",,Juvenile,Southwest Key
26.239331,-97.729311,Southwest Key Combes,Cameron,Texas,"23011 Rio Rancho Rd, Harlingen, TX 78552",,Juvenile,Southwest Key
32.807801,-116.937924,Southwest Key El Cajon,San Diego,California,"1253 Broadway, El Cajon, CA 92021",,Juvenile,Southwest Key
32.241632,-110.97948,Southwest Key Estrella del Norte,Pima,Arizona,"1601 N Oracle Rd, Tucson, AZ 85705",,Juvenile,Southwest Key
33.501996,-112.115041,Southwest Key Phoenix (1 of 2),Maricopa,Arizona,"2613 W Campbell Ave, Phoenix, AZ 85017",,Juvenile,Southwest Key
33.481799,-112.051804,Southwest Key Phoenix (2 of 2),Maricopa,Arizona,"2932 N 14th St, Phoenix, AZ 85014",,Juvenile,Southwest Key
33.594944,-112.303751,Southwest Key Youngtown,Maricopa,Arizona,"12030 N 113th Ave, Youngtown, AZ 85363",,Juvenile,Southwest Key
33.542104,-112.169822,Southwest Key Glendale,Maricopa,Arizona,"5125 W Myrtle Ave, Glendale, AZ 85301",,Juvenile,Southwest Key
30.371544,-95.512041,Southwest Key Conroe,Montgomery,Texas,"10393 League Line Rd, Conroe, TX 77304",,Juvenile,Southwest Key
30.335951,-95.448096,Joe Corley Detention Facility ,Montgomery,Texas,"500 Hilbig Rd, Conroe, TX 77301",,,
29.867513,-95.407907,Southwest Key Casa Quetzal,Harris,Texas,"7407 Interstate 45 N Houston, TX 77076",,Juvenile,Southwest Key
29.705200,-98.495848,Southwest Key Casa Blanca,Bexar,Texas,"27102 Enchanted Eve, San Antonio, TX 78260",,Juvenile,Southwest Key
29.774397,-95.145021,Southwest Key Casa Montezuma,Harris,Texas,"15101 East Fwy, Channelview, TX 77530",,Juvenile,Southwest Key
25.944447,-97.450052,Southwest Key Casa El Presidente,Cameron,Texas,"1 Ted Hunt Blvd Brownsville, TX 78521",,Juvenile,Southwest Key
26.124723,-97.611388,Southwest Key Casa Grande,Cameron,Texas,"401 E Business HWY 77, San Benito, TX 78586",,Juvenile,Southwest Key
31.762054,-106.487845,Southwest Key Casa Franklin,El Paso,Texas,"315 E Franklin Ave, El Paso, TX 79901",,Juvenile,Southwest Key
25.973608,-97.511272,Southwest Key Nueva Esperanza,Cameron,Texas,"321 Lorenaly Dr., Brownsville, TX 78526",,Juvenile,Southwest Key
29.6909001,-95.4089882,Southwest Key Casa Houston Reliant,Harris,Texas,"1550 La Concha Lane, Houston, TX 77054",,Juvenile,Southwest Key
31.9077395,-106.5972866,Southwest Key Shelter Care,El Paso,Texas,"400 Talbot Ave, Canutillo, TX 79835",,Juvenile,Southwest Key
31.5319521,-106.2326139,Southwest Key Casita del Valle,El Paso,Texas,"1855 Lee Mor RD Clint, TX 79836",,Juvenile,Southwest Key
37.9473118,-122.0914811,Southwest Key Pleasant Hill,Contra Costa,California,"808 Grayson Rd, Pleasant Hill, CA 94523",,Juvenile,Southwest Key
,,"***we might be missing 1 SWK site in Cameron County, possibly in Brownsville, not sure yet -RR Source: https://www.brownsvilleherald.com/news/local/texas-inspectors-find-series-of-violations-at-youth-shelters/article_4d2ee338-6e65-11e8-b857-3b5a1864b1b4.html",,,,,,
29.5184927,-95.3547106,Shiloh Treatment Center,Brazoria,Texas,"3926 Bahler Avenue, Manville, TX 77578",,Juvenile,
38.1906885,-79.0154329,Shenendoah Valley Juvenile Center,Augusta,Virginia,"300 Technology Dr, Staunton, VA 24401",,,
28.045392, -99.336083,La Salle County Regional Detention Center,La Salle,Texas,"832 E. Texas 44 Encinal, TX, 78019",,,
,,,,,,,,
,,ICE BELOW HERE FROM https://www.ice.gov/detention-facilities,,,,,,
27.247159,-98.126963,Brooks County Detention Center,Brooks,Texas,"901 County Road 201 Falfurrias, TX, 78355",,,ICE
