character,count
Joyce,90
Anita,89
Madeleine,69
Cassandra,67
Melanie,65
Sherman,59
Woodrow,50
Penny,49
Rickey,47
Manny,44
Marie,44
Jenny,43
Maddie,42
Betsy Ann,41
Diane,40
Caesar,38
Samuel,37
Garrett,37
Rhonda,33
Sam,33
Robert,32
Maude,31
Pearl,29
Carol,28
Humphrey,27
Avis,26
Ralph,25
Vernelle,24
Mildred,23
Miles,21
Pookie,20
Rita,19
Clara,16
Jenkins,16
Sandy,16
Lonney,15
Anna,14
Jesus,14
Marvin,14
Marcus,13
Arnisa,13
Carmena,12
Thelma,11
Wesley,11
Darlene,10
Saunders,10
John Henry,10
Baxter,9
Hazel,9
Adam,9
Alice,8
Angelo,8
Patricia,8
Beatrice,8
Sandra,7
Brenda,7
Tommy,7
Clovis,7
Vi,7
Elaine,7
Etta,6
Clarine,6
Taylor,6
sittin,6
Joe,6
Walter,5
Anacostia,5
Dwayne,5
Al,5
Marvella,5
John Smith,5
Calhoun,5
Vernelle Wise,5
Robert Morgan,4
Mildred Harper,4
Honey,4
Roger,4
Lorton,4
Chuck Taylors,4
Sawyer,4
Smith,4
George,4
Betsy Ann’s,3
Janet,3
Carlos,3
Nothin,3
Jeffrey,3
Joyce Moses,3
Joy,3
Pat,3
Ballston,3
Martin Luther King,3
Williams,3
Yall,3
Walsh,3
Mama Joyce,3
Santiago,3
John,3
Jesse Mae,3
Woodrow L. Cunningham,3
Lani,3
Bea,3
Green,3
Loretta,3
Miles Patterson,2
Walter Creed,2
Janet Gordon,2
Howard,2
Dixie Peach,2
Mary,2
Blondelle,2
Ebony,2
Bartlett,2
Rhonda Ferguson,2
Anita Hughes,2
Willie,2
Hush,2
Gladys,2
kiddin,2
Sherman Wheeler,2
Regina,2
Prentiss,2
Dinah Washington,2
Thou,2
Al Jenkins,2
Tommy Turner,2
bin,2
Whatcha,2
Granny,2
Madeleine Williams,2
Sam Williams,2
Samuel Williams,2
Tellingford,2
brotha,2
Watts,2
Gail,2
Lydia Walsh,2
George Washington,2
Antibes,2
Jack Lawrence,2
Cynthia,2
Ayn Rand,2
Joseph,2
Chatty Cathy,2
Rickey Madison,2
Smokey,2
Chuck Taylor,2
Morton,2
Diane McCollough,2
Harry,2
Sister Slater,2
Jordan,2
Counsel Smith,2
Louis Ritter,2
Jesse Mae Carson,2
Vivian,2
Ritter,2
Gospelteers,2
Jessie Mae,2
Cunningham,2
Elaine Cunningham,2
Rita Hadley,2
Dora,2
Uncle Ray’s,2
Ray,2
Calhoun Lambeth,2
Wilamena,2
Brown,2
George Carter,2
God,2
Betsy Ann Morgan,1
Creed,1
Jenny Creed,1
Hahn,1
Alice Hobson,1
him—“fiancé,1
Woulda,1
bein,1
Wilma Ellis,1
Oscar Jackson,1
Jake Horton,1
Carleton,1
Ralph Holley,1
Aunt Thelma,1
Richard Nixon,1
Poison,1
LaDeidre Gordon,1
LaDeidre,1
Thelma Holley,1
Darlene Greenley,1
Etta O’Connell,1
Knowed,1
Strangely,1
Mary Keith,1
Blondelle Harris,1
Carmel Baptist,1
Carmel,1
Cassandra G. Lewis,1
Mack Truck,1
Hollywood Hudson,1
Daddy Ferguson,1
FAMILY,1
Ferguson,1
Jeffrey Stanford,1
Melanie Cartwright,1
Barlett,1
Gladys Harper,1
Elson,1
Pearl Guthrie,1
Kelvin,1
shootin,1
Glady,1
Bama,1
Bob,1
hearin,1
Clifton Terrace,1
Caesar Matthews,1
Manny Soto,1
Sandra Wallington,1
Mornin,1
dick,1
Fred,1
Lafayette,1
Elsie,1
Yesday,1
Angelo Billings,1
Lemuel Matthews,1
Burberry Carol,1
Atlas,1
Lonney McCrae,1
Kennedy,1
Brenda Roper,1
McCrae,1
candy wrappers,1
Mabel Smith,1
Mabel,1
Gertrude Baxter,1
Turner,1
Wonda Bread,1
Penny Jenkins,1
Howard Theater,1
tons,1
Knight,1
Sneaky Pete,1
Wonder Bread,1
O. Lonney,1
Joy Lambert,1
Carter,1
Carl Baggot,1
Patricia Turner,1
Hula Hoop,1
Soon Joy,1
handcuff Penny,1
Snowball Patterson,1
me—“my,1
beaucoup,1
Lady Baxter,1
Kemo Sabe,1
Mojo,1
Puddin,1
Severin,1
kinda hair,1
Capricorns,1
Libras,1
Franklin Square,1
Kinda,1
Carlson,1
Samuel Lamont Williams,1
Marie Williams,1
John Tellingford,1
Larry,1
Maddie Williams,1
Yo,1
Pookie Williams,1
Aunt Maddie,1
Washton,1
Afros,1
Bo Cromwell,1
Sam Wallace,1
Nilla Wafers,1
Hazel Watts,1
Lorton Prison,1
Happy Mother’s Day,1
Arnisa Isaacs,1
Bill,1
Sen Fin,1
Mile Long,1
Virginia Woolf,1
Horace Mann,1
Yale Law,1
Gail Saunders,1
Je m’appelle Lydia,1
Cornelia,1
Fendi,1
Cab Driver,1
Eve,1
John Brown,1
Frazier,1
