script_id,imdb_character_name,words,gender,age,imdb_id,title,year,gross,proportion_of_dialogue
280,betty,311,f,35,tt0112579,The Bridges of Madison County,1995,142,0.0486393494
280,carolyn johnson,873,f,,tt0112579,The Bridges of Madison County,1995,142,0.1365342509
280,eleanor,138,f,,tt0112579,The Bridges of Madison County,1995,142,0.0215827338
280,francesca johns,2251,f,46,tt0112579,The Bridges of Madison County,1995,142,0.3520487957
280,madge,190,f,46,tt0112579,The Bridges of Madison County,1995,142,0.0297153581
280,michael johnson,723,m,38,tt0112579,The Bridges of Madison County,1995,142,0.1130747576
280,robert kincaid,1908,m,65,tt0112579,The Bridges of Madison County,1995,142,0.2984047545
623,bobby korfin,328,m,,tt0179626,15 Minutes,2001,37,0.0360122969
623,daphne handlova,409,f,28,tt0179626,15 Minutes,2001,37,0.0449055775
623,deputy chief fi,347,m,,tt0179626,15 Minutes,2001,37,0.0380983751
623,detective eddie,2020,m,58,tt0179626,15 Minutes,2001,37,0.2217830479
623,detective leon ,366,m,53,tt0179626,15 Minutes,2001,37,0.0401844532
623,detective tommy,160,m,25,tt0179626,15 Minutes,2001,37,0.0175669741
623,emil slovak,1337,m,39,tt0179626,15 Minutes,2001,37,0.1467940272
623,fire marshal jo,1683,m,33,tt0179626,15 Minutes,2001,37,0.1847826087
623,honey the hooke,148,f,,tt0179626,15 Minutes,2001,37,0.016249451
623,nicolette karas,801,f,34,tt0179626,15 Minutes,2001,37,0.087944664
623,oleg razgul,608,m,34,tt0179626,15 Minutes,2001,37,0.0667545015
623,robert hawkins,596,m,46,tt0179626,15 Minutes,2001,37,0.0654369785
623,rose hearn,166,f,26,tt0179626,15 Minutes,2001,37,0.0182257356
623,stephen geller,139,m,25,tt0179626,15 Minutes,2001,37,0.0152613087
625,dr. andrei smys,225,m,42,tt0062622,2001: A Space Odyssey,1968,376,0.0511247444
625,dr. bill michae,151,m,47,tt0062622,2001: A Space Odyssey,1968,376,0.034310384
625,dr. dave bowman,780,m,32,tt0062622,2001: A Space Odyssey,1968,376,0.1772324472
625,dr. frank poole,752,m,31,tt0062622,2001: A Space Odyssey,1968,376,0.1708702568
625,dr. heywood r. ,942,m,46,tt0062622,2001: A Space Odyssey,1968,376,0.2140422631
625,dr. ralph halvo,918,m,59,tt0062622,2001: A Space Odyssey,1968,376,0.2085889571
625,elena,155,f,37,tt0062622,2001: A Space Odyssey,1968,376,0.0352192683
625,miller,141,m,40,tt0062622,2001: A Space Odyssey,1968,376,0.0320381731
625,pilot,337,m,,tt0062622,2001: A Space Odyssey,1968,376,0.076573506
630,agent brzowski,277,m,,tt0307901,25th Hour,2002,19,0.0273391236
630,frank slaughter,1495,m,32,tt0307901,25th Hour,2002,19,0.1475523095
630,gedny,179,m,,tt0307901,25th Hour,2002,19,0.0176667983
630,jacob elinsky,1292,m,35,tt0307901,25th Hour,2002,19,0.1275167785
630,kostya novotny,790,m,35,tt0307901,25th Hour,2002,19,0.0779707856
630,lichter,215,m,,tt0307901,25th Hour,2002,19,0.0212198974
630,louis volandes,115,m,39,tt0307901,25th Hour,2002,19,0.0113501777
630,marcuse,126,m,26,tt0307901,25th Hour,2002,19,0.0124358468
630,mary d'annunzio,256,f,20,tt0307901,25th Hour,2002,19,0.0252664824
630,monty brogan,3440,m,33,tt0307901,25th Hour,2002,19,0.3395183577
630,naturelle rivie,817,f,23,tt0307901,25th Hour,2002,19,0.0806356099
630,senka valghobek,186,m,41,tt0307901,25th Hour,2002,19,0.0183576786
630,simon,209,m,32,tt0307901,25th Hour,2002,19,0.0206277142
630,trey,116,m,,tt0307901,25th Hour,2002,19,0.0114488749
630,uncle nikolai,619,m,44,tt0307901,25th Hour,2002,19,0.0610935649
633,clive park,273,m,,tt1019452,A Serious Man,2009,10,0.0302359065
633,danny gopnik,647,m,15,tt1019452,A Serious Man,2009,10,0.0716579909
633,don,739,m,,tt1019452,A Serious Man,2009,10,0.0818473807
633,gar,140,m,,tt1019452,A Serious Man,2009,10,0.0155055931
633,hebrew school t,146,m,,tt1019452,A Serious Man,2009,10,0.0161701185
633,judith gopnik,227,f,,tt1019452,A Serious Man,2009,10,0.0251412117
633,larry gopnik,5071,m,41,tt1019452,A Serious Man,2009,10,0.5616347325
633,mimi,219,f,,tt1019452,A Serious Man,2009,10,0.0242551778
633,mitch brandt,309,m,,tt1019452,A Serious Man,2009,10,0.034223059
633,reb groshkover,111,m,,tt1019452,A Serious Man,2009,10,0.0122937202
633,sarah,290,f,,tt1019452,A Serious Man,2009,10,0.0321187285
633,shtetl wife,130,f,,tt1019452,A Serious Man,2009,10,0.0143980507
633,sy ableman,370,m,53,tt1019452,A Serious Man,2009,10,0.0409790674
633,uncle arthur,357,m,53,tt1019452,A Serious Man,2009,10,0.0395392624
640,buckaroo banzai,1723,m,37,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.2809849967
640,general catburd,334,m,54,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0544683627
640,highway patrolm,126,m,36,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0205479452
640,john emdall,226,f,46,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0368558382
640,lord john whorf,330,m,39,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.053816047
640,new jersey,132,m,32,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0215264188
640,penny priddy,653,f,30,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.1064905414
640,perfect tommy,464,m,28,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0756686236
640,president widma,303,m,49,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0494129159
640,professor hikit,301,m,53,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.049086758
640,rawhide,493,m,25,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0803979126
640,reno nevada,360,m,40,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.0587084149
640,secretary of de,687,m,48,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,0.112035225
642,"alex, the pimp",156,m,,tt0094602,Above the Law,1988,40,0.0198878123
642,delores 'jacks',686,f,39,tt0094602,Above the Law,1988,40,0.0874553799
642,detective lukic,199,m,,tt0094602,Above the Law,1988,40,0.0253697093
642,kurt zagon,914,m,60,tt0094602,Above the Law,1988,40,0.1165221826
642,lieutenant stro,169,m,,tt0094602,Above the Law,1988,40,0.02154513
642,machete man,113,m,,tt0094602,Above the Law,1988,40,0.0144059153
642,nelson fox,667,m,46,tt0094602,Above the Law,1988,40,0.0850331464
642,nico toscani,3835,m,36,tt0094602,Above the Law,1988,40,0.48890872
642,rosa toscani,168,f,66,tt0094602,Above the Law,1988,40,0.0214176441
642,sara toscani,198,f,30,tt0094602,Above the Law,1988,40,0.0252422234
642,tony salvano,203,m,39,tt0094602,Above the Law,1988,40,0.0258796532
642,uncle branca,271,m,,tt0094602,Above the Law,1988,40,0.0345486996
642,watanabe,265,f,,tt0094602,Above the Law,1988,40,0.0337837838
647,agent gibbs,299,m,42,tt0118571,Air Force One,1997,327,0.0484524388
647,alice marshall,371,f,13,tt0118571,Air Force One,1997,327,0.0601199157
647,boris bazylev,115,m,42,tt0118571,Air Force One,1997,327,0.0186355534
647,chief of staff ,319,m,48,tt0118571,Air Force One,1997,327,0.0516934046
647,defense secreta,210,m,61,tt0118571,Air Force One,1997,327,0.034030141
647,f-15 leader col,293,m,38,tt0118571,Air Force One,1997,327,0.0474801491
647,general northwo,202,m,50,tt0118571,Air Force One,1997,327,0.0327337547
647,grace marshall,497,f,41,tt0118571,Air Force One,1997,327,0.0805380003
647,ivan korshunov,1075,m,39,tt0118571,Air Force One,1997,327,0.1742019122
647,major caldwell,319,m,47,tt0118571,Air Force One,1997,327,0.0516934046
647,nsa advisor jac,113,m,49,tt0118571,Air Force One,1997,327,0.0183114568
647,president james,1491,m,55,tt0118571,Air Force One,1997,327,0.241614001
647,press secretary,235,f,42,tt0118571,Air Force One,1997,327,0.0380813482
647,reporter #1,123,m,42,tt0118571,Air Force One,1997,327,0.0199319397
647,vice president ,389,f,50,tt0118571,Air Force One,1997,327,0.063036785
647,white house aid,120,m,34,tt0118571,Air Force One,1997,327,0.0194457948
648,air controller ,162,m,63,tt0080339,Airplane!,1980,269,0.0295404814
648,bernice,124,f,,tt0080339,Airplane!,1980,269,0.0226112327
648,captain oveur,324,m,54,tt0080339,Airplane!,1980,269,0.0590809628
648,dr. rumack,806,m,54,tt0080339,Airplane!,1980,269,0.1469730124
648,elaine,904,f,25,tt0080339,Airplane!,1980,269,0.1648431802
648,kramer,1191,m,61,tt0080339,Airplane!,1980,269,0.2171772429
648,milton,217,m,,tt0080339,Airplane!,1980,269,0.0395696572
648,murdock,268,m,33,tt0080339,Airplane!,1980,269,0.0488694384
648,randy,472,f,24,tt0080339,Airplane!,1980,269,0.0860685631
648,ted striker,1016,m,33,tt0080339,Airplane!,1980,269,0.185266229
650,captain oveur,346,m,56,tt0083530,Airplane II: The Sequel,1982,,0.0592262924
650,dr. rumack,133,m,56,tt0083530,Airplane II: The Sequel,1982,,0.022766176
650,elaine,930,f,27,tt0083530,Airplane II: The Sequel,1982,,0.1591920575
650,hallick,170,m,,tt0083530,Airplane II: The Sequel,1982,,0.0290996234
650,jacobs,139,m,35,tt0083530,Airplane II: The Sequel,1982,,0.0237932215
650,jimmy wilson,127,m,11,tt0083530,Airplane II: The Sequel,1982,,0.0217391304
650,kramer,382,m,,tt0083530,Airplane II: The Sequel,1982,,0.0653885656
650,kruger,276,m,51,tt0083530,Airplane II: The Sequel,1982,,0.0472440945
650,mary,289,f,,tt0083530,Airplane II: The Sequel,1982,,0.0494693598
650,simon,392,m,45,tt0083530,Airplane II: The Sequel,1982,,0.0671003081
650,stella,363,f,,tt0083530,Airplane II: The Sequel,1982,,0.0621362547
650,ted,1646,m,,tt0083530,Airplane II: The Sequel,1982,,0.2817528244
650,testa,122,f,25,tt0083530,Airplane II: The Sequel,1982,,0.0208832592
650,the commissione,203,m,67,tt0083530,Airplane II: The Sequel,1982,,0.0347483738
650,the sarge,206,m,61,tt0083530,Airplane II: The Sequel,1982,,0.0352618966
650,"voice of rok, t",118,m,36,tt0083530,Airplane II: The Sequel,1982,,0.0201985621
652,capt. warner,139,m,46,tt0094631,Alien Nation,1988,53,0.0222863556
652,cassandra,220,f,31,tt0094631,Alien Nation,1988,53,0.0352733686
652,computer operat,129,f,,tt0094631,Alien Nation,1988,53,0.0206830207
652,det. bill tuggl,149,m,39,tt0094631,Alien Nation,1988,53,0.0238896906
652,det. samuel 'ge,1551,m,36,tt0094631,Alien Nation,1988,53,0.2486772487
652,det. sgt. matth,2692,m,48,tt0094631,Alien Nation,1988,53,0.431617765
652,fedorchuk,175,m,44,tt0094631,Alien Nation,1988,53,0.0280583614
652,mayor,144,m,,tt0094631,Alien Nation,1988,53,0.0230880231
652,o'neal,148,m,,tt0094631,Alien Nation,1988,53,0.0237293571
652,quint,130,m,,tt0094631,Alien Nation,1988,53,0.0208433542
652,william harcour,517,m,50,tt0094631,Alien Nation,1988,53,0.0828924162
652,winter,243,m,41,tt0094631,Alien Nation,1988,53,0.038961039
653,smokin' joe fr,150,m,33,tt0248667,Ali,2001,89,0.016664815
653,angelo dundee,318,m,55,tt0248667,Ali,2001,89,0.0353294078
653,belinda ali,566,f,27,tt0248667,Ali,2001,89,0.062881902
653,bradley,128,m,51,tt0248667,Ali,2001,89,0.0142206422
653,chauncey eskrid,247,m,54,tt0248667,Ali,2001,89,0.0274413954
653,don king,398,m,44,tt0248667,Ali,2001,89,0.0442173092
653,drew 'bundini' ,708,m,34,tt0248667,Ali,2001,89,0.0786579269
653,elijah muhammad,206,m,64,tt0248667,Ali,2001,89,0.022886346
653,george foreman,162,m,,tt0248667,Ali,2001,89,0.0179980002
653,howard bingham,188,m,36,tt0248667,Ali,2001,89,0.0208865682
653,howard cosell,575,m,63,tt0248667,Ali,2001,89,0.0638817909
653,jabir herbert m,232,m,47,tt0248667,Ali,2001,89,0.0257749139
653,joe smiley,128,m,44,tt0248667,Ali,2001,89,0.0142206422
653,malcolm x,662,m,44,tt0248667,Ali,2001,89,0.0735473836
653,muhammad ali,4042,m,33,tt0248667,Ali,2001,89,0.4490612154
653,sonji roi,291,f,30,tt0248667,Ali,2001,89,0.0323297411
664,antonio salieri,1919,m,45,tt0086879,Amadeus,1984,,0.1561686198
664,archbishop coll,150,m,52,tt0086879,Amadeus,1984,,0.0122070313
664,baron van swiet,246,m,61,tt0086879,Amadeus,1984,,0.0200195313
664,constanze mozar,1406,f,22,tt0086879,Amadeus,1984,,0.1144205729
664,count orsini-ro,303,m,54,tt0086879,Amadeus,1984,,0.0246582031
664,count von strac,155,m,52,tt0086879,Amadeus,1984,,0.0126139323
664,emanuel schikan,702,m,35,tt0086879,Amadeus,1984,,0.0571289063
664,emperor joseph ,946,m,38,tt0086879,Amadeus,1984,,0.0769856771
664,father vogler,309,m,31,tt0086879,Amadeus,1984,,0.0251464844
664,frau schlumberg,107,f,,tt0086879,Amadeus,1984,,0.0087076823
664,frau weber,175,f,,tt0086879,Amadeus,1984,,0.0142415365
664,katerina cavali,271,f,31,tt0086879,Amadeus,1984,,0.0220540365
664,leopold mozart,646,m,61,tt0086879,Amadeus,1984,,0.0525716146
664,lorl,307,f,18,tt0086879,Amadeus,1984,,0.024983724
664,michael schlumb,410,m,52,tt0086879,Amadeus,1984,,0.0333658854
664,papageno in 'th,154,m,,tt0086879,Amadeus,1984,,0.0125325521
664,parody commenda,107,m,50,tt0086879,Amadeus,1984,,0.0087076823
664,salieri's valet,149,m,36,tt0086879,Amadeus,1984,,0.012125651
664,wolfgang amadeu,3826,m,31,tt0086879,Amadeus,1984,,0.3113606771
665,2-star general,144,m,,tt0765429,American Gangster,2007,164,0.0159309658
665,ana,220,f,,tt0765429,American Gangster,2007,164,0.0243389756
665,charlie william,115,m,60,tt0765429,American Gangster,2007,164,0.0127226463
665,detective trupo,377,m,39,tt0765429,American Gangster,2007,164,0.0417081536
665,frank lucas,2480,m,53,tt0765429,American Gangster,2007,164,0.2743666335
665,freddie spearma,140,m,48,tt0765429,American Gangster,2007,164,0.015488439
665,huey lucas,529,m,30,tt0765429,American Gangster,2007,164,0.058524173
665,jackie,132,f,,tt0765429,American Gangster,2007,164,0.0146033853
665,javier j. river,392,m,39,tt0765429,American Gangster,2007,164,0.0433676292
665,jimmy zee,115,m,,tt0765429,American Gangster,2007,164,0.0127226463
665,laurie roberts,190,f,36,tt0765429,American Gangster,2007,164,0.0210200243
665,lou toback,318,m,50,tt0765429,American Gangster,2007,164,0.0351808828
665,mama lucas,173,f,85,tt0765429,American Gangster,2007,164,0.0191392853
665,moses jones,103,m,38,tt0765429,American Gangster,2007,164,0.0113950658
665,mp,168,m,40,tt0765429,American Gangster,2007,164,0.0185861268
665,nate,175,m,48,tt0765429,American Gangster,2007,164,0.0193605487
665,richie roberts,2217,m,43,tt0765429,American Gangster,2007,164,0.2452704945
665,sheila,224,f,,tt0765429,American Gangster,2007,164,0.0247815024
665,tango,140,m,35,tt0765429,American Gangster,2007,164,0.015488439
665,teddy,204,m,,tt0765429,American Gangster,2007,164,0.0225688682
