script_id,imdb_id,title,year,gross,lines_data
1534,tt1022603,(500) Days of Summer,2009,37,743544525677478000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1512,tt0147800,10 Things I Hate About You,1999,65,177775232027453000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1514,tt0417385,12 and Holding,2005,,54613577777542200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1517,tt2024544,12 Years a Slave,2013,60,4567334777777780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1520,tt1542344,127 Hours,2010,20,453513352345766000000000000000
6537,tt0450385,1408,2007,91,37677777777777800000000000000000000000000000
3778,tt0103594,1492: Conquest of Paradise,1992,15,6677777755777780000000000000000000000000000000000000000000000000000000000000000000
623,tt0179626,15 Minutes,2001,37,77777777777777800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1525,tt0974661,17 Again,2009,74,7667676775564340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6030,tt1272878,2 Guns,2013,80,36765777777777600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
625,tt0062622,2001: A Space Odyssey,1968,376,77777344575756800000000000000000000000000000000000000
1509,tt1190080,2012,2009,192,777763446720678000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8543,tt0478087,21,2008,98,667777777777778000000000000000000000000000000000000000000000000000000000000000000000000000
7834,tt2294449,22 Jump Street,2014,204,7766777777777780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
630,tt0307901,25th Hour,2002,19,7777775254554340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3784,tt0191754,28 Days,2000,59,11400251020230300000
6360,tt0289043,28 Days Later...,2002,67,77775656553332500000000000000000000000000000000000000000000000000000000000000
7597,tt0463854,28 Weeks Later,2007,36,53445555437566400000000000000000000000000000000000000000
8209,tt2172934,3 Days to Kill,2014,32,46456777777777400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1408,tt0094137,3 Men and a Baby,1987,373,777777777777778000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7678,tt0075612,3 Women,1977,,20000301001012200
8671,tt0389722,30 Days of Night,2007,50,77763444444477500000000000000000000000000000000000000000000000000000000000000000000
1530,tt1622547,30 Minutes or Less,2011,40,777777774333358000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7770,tt0416449,300,2006,280,77775557777754800000000000000000000000000000000000000000000000000000000000000000
3789,tt0381849,3:10 to Yuma,2007,67,5457777777774570000000000000000000000000000000000000000000000000000000000000000000000000000
1502,tt0453562,42,2013,101,7777777777343570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1532,tt0083511,48 Hrs.,1982,224,773435775443478000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3770,tt1306980,50/50,2011,38,34777777777763800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1537,tt0134273,8MM,1999,62,544644533234437000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5820,tt0268978,A Beautiful Mind,2001,262,777777777747778000000000000000000000000000000000000000000000000000000000000000000000
6574,tt0120633,A Civil Action,1998,105,554577777777678000000000000000
4022,tt0066921,A Clockwork Orange,1971,,774477777777777000000000000000000000000000000000000000000000000000
2190,tt0097243,A Dry White Season,1989,8,746567777647756000000000000000000000000000000000000000000000000000000000000000000000000000000
1538,tt0104257,A Few Good Men,1992,295,436747777777754000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8880,tt0401445,A Good Year,2006,9,7756646567567350000000000000000000000000000000000000000000000000000000000000000
8007,tt0399146,A History of Violence,2005,42,775425442777777000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7931,tt0266465,A Man Apart,2003,37,766523547762654000000000000000000000000000000000000000000000000000000000000
5368,tt2937898,A Most Violent Year,2014,6,4777777743337780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8057,tt1972571,A Most Wanted Man,2014,18,6054456777732750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5342,tt0120770,A Night at the Roxbury,1998,56,7766777777777780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1196,tt0087800,A Nightmare on Elm Street,1984,68,214412343440668000000000000000000000000000000000000000000000000000000000000000000
6161,tt0089686,A Nightmare on Elm Street 2: Freddy's Revenge,1985,73,5377647433447420000000000000000000000000
