page,lowercase,pos,count,book,year,story
1,",",",",1,Lost in the city : stories /,1993,Front Matter
1,0.046,CD,1,Lost in the city : stories /,1993,Front Matter
1,1993,CD,1,Lost in the city : stories /,1993,Front Matter
1,3560,CD,1,Lost in the city : stories /,1993,Front Matter
1,a,DT,1,Lost in the city : stories /,1993,Front Matter
1,author,NN,1,Lost in the city : stories /,1993,Front Matter
1,award,NN,1,Lost in the city : stories /,1993,Front Matter
1,by,IN,1,Lost in the city : stories /,1993,Front Matter
1,collection,NN,1,Lost in the city : stories /,1993,Front Matter
1,commanding,JJ,1,Lost in the city : stories /,1993,Front Matter
1,edward,NNP,1,Lost in the city : stories /,1993,Front Matter
1,exhale,VB,1,Lost in the city : stories /,1993,Front Matter
1,has,VBZ,1,Lost in the city : stories /,1993,Front Matter
1,his,PRP$,1,Lost in the city : stories /,1993,Front Matter
1,jones,NNP,1,Lost in the city : stories /,1993,Front Matter
1,l6,NN,1,Lost in the city : stories /,1993,Front Matter
1,macmillan,NNP,1,Lost in the city : stories /,1993,Front Matter
1,of,IN,3,Lost in the city : stories /,1993,Front Matter
1,p.,NNP,1,Lost in the city : stories /,1993,Front Matter
1,pen/hemingway,NN,1,Lost in the city : stories /,1993,Front Matter
1,ps,NNP,1,Lost in the city : stories /,1993,Front Matter
1,stories,NNS,2,Lost in the city : stories /,1993,Front Matter
1,terry,NNP,1,Lost in the city : stories /,1993,Front Matter
1,the,DT,1,Lost in the city : stories /,1993,Front Matter
1,to,TO,1,Lost in the city : stories /,1993,Front Matter
1,ugl,NNP,1,Lost in the city : stories /,1993,Front Matter
1,voice,NN,1,Lost in the city : stories /,1993,Front Matter
1,waiting,VBG,1,Lost in the city : stories /,1993,Front Matter
2,#22>,UNK,1,Lost in the city : stories /,1993,Front Matter
2,,UNK,1,Lost in the city : stories /,1993,Front Matter
2,sy&rr_3s£,UNK,1,Lost in the city : stories /,1993,Front Matter
3,"""",UNK,1,Lost in the city : stories /,1993,Front Matter
3,,UNK,1,Lost in the city : stories /,1993,Front Matter
3,*,UNK,2,Lost in the city : stories /,1993,Front Matter
3,*•,UNK,1,Lost in the city : stories /,1993,Front Matter
3,*••'«•,UNK,1,Lost in the city : stories /,1993,Front Matter
3,",",UNK,1,Lost in the city : stories /,1993,Front Matter
3,0,UNK,1,Lost in the city : stories /,1993,Front Matter
3,".,'",UNK,1,Lost in the city : stories /,1993,Front Matter
3,4,UNK,1,Lost in the city : stories /,1993,Front Matter
3,:,UNK,1,Lost in the city : stories /,1993,Front Matter
3,^c/l*^*'*,UNK,1,Lost in the city : stories /,1993,Front Matter
3,a,UNK,1,Lost in the city : stories /,1993,Front Matter
3,in,UNK,1,Lost in the city : stories /,1993,Front Matter
3,"iutv,'.s",UNK,1,Lost in the city : stories /,1993,Front Matter
3,l0st,UNK,1,Lost in the city : stories /,1993,Front Matter
3,man11,UNK,1,Lost in the city : stories /,1993,Front Matter
3,the,UNK,1,Lost in the city : stories /,1993,Front Matter
3,u,UNK,1,Lost in the city : stories /,1993,Front Matter
3,v,UNK,3,Lost in the city : stories /,1993,Front Matter
3,v^<v,UNK,1,Lost in the city : stories /,1993,Front Matter
3,£>ov,UNK,1,Lost in the city : stories /,1993,Front Matter
3,•,UNK,2,Lost in the city : stories /,1993,Front Matter
3,•*♦:,UNK,1,Lost in the city : stories /,1993,Front Matter
3,■,UNK,1,Lost in the city : stories /,1993,Front Matter
4,0,UNK,1,Lost in the city : stories /,1993,Front Matter
4,_,UNK,1,Lost in the city : stories /,1993,Front Matter
5,\,SYM,1,Lost in the city : stories /,1993,Front Matter
5,a,NNP,1,Lost in the city : stories /,1993,Front Matter
5,amos,NNP,1,Lost in the city : stories /,1993,Front Matter
5,by,IN,1,Lost in the city : stories /,1993,Front Matter
5,by,NNP,1,Lost in the city : stories /,1993,Front Matter
5,chan,NNP,1,Lost in the city : stories /,1993,Front Matter
5,city,NN,1,Lost in the city : stories /,1993,Front Matter
5,division,NNP,1,Lost in the city : stories /,1993,Front Matter
5,edward,NNP,1,Lost in the city : stories /,1993,Front Matter
5,harpercol,NNP,1,Lost in the city : stories /,1993,Front Matter
5,harperperennial,NNP,1,Lost in the city : stories /,1993,Front Matter
5,in,IN,1,Lost in the city : stories /,1993,Front Matter
5,inspub!ishers,NNS,1,Lost in the city : stories /,1993,Front Matter
5,jones,NNP,1,Lost in the city : stories /,1993,Front Matter
5,lost,NNP,1,Lost in the city : stories /,1993,Front Matter
5,mm,NN,1,Lost in the city : stories /,1993,Front Matter
5,of,IN,1,Lost in the city : stories /,1993,Front Matter
5,p.,NNP,1,Lost in the city : stories /,1993,Front Matter
5,photographs,NNPS,1,Lost in the city : stories /,1993,Front Matter
5,s.t.or.i.e.s,NNS,1,Lost in the city : stories /,1993,Front Matter
5,the,DT,1,Lost in the city : stories /,1993,Front Matter
6,,',1,Lost in the city : stories /,1993,Front Matter
6,',',5,Lost in the city : stories /,1993,Front Matter
6,m,VBP,2,Lost in the city : stories /,1993,Front Matter
6,*,SYM,1,Lost in the city : stories /,1993,Front Matter
6,",",",",43,Lost in the city : stories /,1993,Front Matter
6,--,:,2,Lost in the city : stories /,1993,Front Matter
6,-lrb-,-LRB-,8,Lost in the city : stories /,1993,Front Matter
6,-lsb-,-LRB-,1,Lost in the city : stories /,1993,Front Matter
6,-rcb-,-RRB-,1,Lost in the city : stories /,1993,Front Matter
6,-rrb-,-RRB-,7,Lost in the city : stories /,1993,Front Matter
6,-rsb-,-RRB-,1,Lost in the city : stories /,1993,Front Matter
6,0,0,37,Lost in the city : stories /,1993,Front Matter
6,0.54,CD,1,Lost in the city : stories /,1993,Front Matter
6,/,:,1,Lost in the city : stories /,1993,Front Matter
6,0-06-097557-1,CD,1,Lost in the city : stories /,1993,Front Matter
6,1,CD,2,Lost in the city : stories /,1993,Front Matter
6,10,CD,2,Lost in the city : stories /,1993,Front Matter
6,10022,CD,2,Lost in the city : stories /,1993,Front Matter
6,10 987654321,CD,1,Lost in the city : stories /,1993,Front Matter
6,122,CD,1,Lost in the city : stories /,1993,Front Matter
6,1951,CD,1,Lost in the city : stories /,1993,Front Matter
6,1953,CD,1,Lost in the city : stories /,1993,Front Matter
6,1961,CD,1,Lost in the city : stories /,1993,Front Matter
6,1981,CD,1,Lost in the city : stories /,1993,Front Matter
6,1982,CD,1,Lost in the city : stories /,1993,Front Matter
6,1989,CD,1,Lost in the city : stories /,1993,Front Matter
6,1992,CD,3,Lost in the city : stories /,1993,Front Matter
6,1993,CD,2,Lost in the city : stories /,1993,Front Matter
6,1st,JJ,1,Lost in the city : stories /,1993,Front Matter
6,2,CD,1,Lost in the city : stories /,1993,Front Matter
6,4,CD,1,Lost in the city : stories /,1993,Front Matter
6,5,CD,1,Lost in the city : stories /,1993,Front Matter
6,53rd,CD,2,Lost in the city : stories /,1993,Front Matter
6,7,CD,1,Lost in the city : stories /,1993,Front Matter
6,813,CD,1,Lost in the city : stories /,1993,Front Matter
6,92-54781,CD,1,Lost in the city : stories /,1993,Front Matter
6,93,CD,1,Lost in the city : stories /,1993,Front Matter
6,94,CD,1,Lost in the city : stories /,1993,Front Matter
6,95,CD,1,Lost in the city : stories /,1993,Front Matter
6,96,CD,1,Lost in the city : stories /,1993,Front Matter
6,97,CD,1,Lost in the city : stories /,1993,Front Matter
6,:,:,3,Lost in the city : stories /,1993,Front Matter
6,;,:,4,Lost in the city : stories /,1993,Front Matter
6,\,FW,1,Lost in the city : stories /,1993,Front Matter
6,``,``,4,Lost in the city : stories /,1993,Front Matter
6,a,DT,4,Lost in the city : stories /,1993,Front Matter
6,a.,NNP,2,Lost in the city : stories /,1993,Front Matter
6,acknowledgment,NN,1,Lost in the city : stories /,1993,Front Matter
6,adapting,VBG,2,Lost in the city : stories /,1993,Front Matter
6,address,NN,1,Lost in the city : stories /,1993,Front Matter
6,al,NNP,1,Lost in the city : stories /,1993,Front Matter
6,all,DT,3,Lost in the city : stories /,1993,Front Matter
6,america,NNP,1,Lost in the city : stories /,1993,Front Matter
6,amos,NNP,1,Lost in the city : stories /,1993,Front Matter
6,an,DT,2,Lost in the city : stories /,1993,Front Matter
6,and,CC,11,Lost in the city : stories /,1993,Front Matter
6,any,DT,1,Lost in the city : stories /,1993,Front Matter
6,appeared,VBD,3,Lost in the city : stories /,1993,Front Matter
6,are,VBP,2,Lost in the city : stories /,1993,Front Matter
6,arranged,VBN,1,Lost in the city : stories /,1993,Front Matter
6,arrangement,NN,1,Lost in the city : stories /,1993,Front Matter
6,arranging,VBG,2,Lost in the city : stories /,1993,Front Matter
6,articles,NNS,1,Lost in the city : stories /,1993,Front Matter
6,as,IN,1,Lost in the city : stories /,1993,Front Matter
6,assigned,VBN,2,Lost in the city : stories /,1993,Front Matter
6,be,VB,2,Lost in the city : stories /,1993,Front Matter
6,been,VBN,2,Lost in the city : stories /,1993,Front Matter
6,book,NN,2,Lost in the city : stories /,1993,Front Matter
6,books,NNS,1,Lost in the city : stories /,1993,Front Matter
6,brief,JJ,1,Lost in the city : stories /,1993,Front Matter
6,business,NN,1,Lost in the city : stories /,1993,Front Matter
6,by,IN,13,Lost in the city : stories /,1993,Front Matter
6,c,NN,1,Lost in the city : stories /,1993,Front Matter
6,callaloo,NN,1,Lost in the city : stories /,1993,Front Matter
6,carole,NNP,1,Lost in the city : stories /,1993,Front Matter
6,case,NN,1,Lost in the city : stories /,1993,Front Matter
6,cataloging-in-publication,NNP,1,Lost in the city : stories /,1993,Front Matter
6,chan,NNP,1,Lost in the city : stories /,1993,Front Matter
6,city,NN,2,Lost in the city : stories /,1993,Front Matter
6,cm,NN,1,Lost in the city : stories /,1993,Front Matter
6,company,NNP,2,Lost in the city : stories /,1993,Front Matter
6,congress,NNP,1,Lost in the city : stories /,1993,Front Matter
6,consideration,NN,1,Lost in the city : stories /,1993,Front Matter
6,copying,NN,2,Lost in the city : stories /,1993,Front Matter
6,copyright,NN,11,Lost in the city : stories /,1993,Front Matter
6,critical,JJ,1,Lost in the city : stories /,1993,Front Matter
6,dark,JJ,1,Lost in the city : stories /,1993,Front Matter
6,data,NNP,1,Lost in the city : stories /,1993,Front Matter
6,day,NNP,2,Lost in the city : stories /,1993,Front Matter
6,dc20,CD,1,Lost in the city : stories /,1993,Front Matter
6,department,NNP,1,Lost in the city : stories /,1993,Front Matter
