story,lowercase,pos,count
01: The Girl Who Raised Pigeons,!,0,8
01: The Girl Who Raised Pigeons,,',3
01: The Girl Who Raised Pigeons,,POS,1
01: The Girl Who Raised Pigeons,',',111
01: The Girl Who Raised Pigeons,d,VBD,1
01: The Girl Who Raised Pigeons,ll,MD,5
01: The Girl Who Raised Pigeons,m,VBP,3
01: The Girl Who Raised Pigeons,s,POS,69
01: The Girl Who Raised Pigeons,s,VBZ,6
01: The Girl Who Raised Pigeons,*,SYM,5
01: The Girl Who Raised Pigeons,",",",",583
01: The Girl Who Raised Pigeons,--,:,11
01: The Girl Who Raised Pigeons,-lcb-,-LRB-,3
01: The Girl Who Raised Pigeons,-lrb-,-LRB-,8
01: The Girl Who Raised Pigeons,-lsb-,-LRB-,1
01: The Girl Who Raised Pigeons,-rcb-,-RRB-,2
01: The Girl Who Raised Pigeons,-rrb-,-RRB-,5
01: The Girl Who Raised Pigeons,-rsb-,-RRB-,2
01: The Girl Who Raised Pigeons,0,0,430
01: The Girl Who Raised Pigeons,...,:,1
01: The Girl Who Raised Pigeons,/,:,4
01: The Girl Who Raised Pigeons,1957j,NN,1
01: The Girl Who Raised Pigeons,1961,CD,2
01: The Girl Who Raised Pigeons,1st,CD,2
01: The Girl Who Raised Pigeons,1st,JJ,2
01: The Girl Who Raised Pigeons,3rd,JJ,1
01: The Girl Who Raised Pigeons,7th,JJ,1
01: The Girl Who Raised Pigeons,7th,NNP,1
01: The Girl Who Raised Pigeons,:,:,7
01: The Girl Who Raised Pigeons,;,:,4
01: The Girl Who Raised Pigeons,<,JJR,2
01: The Girl Who Raised Pigeons,>,JJR,1
01: The Girl Who Raised Pigeons,?,0,23
01: The Girl Who Raised Pigeons,\,CD,1
01: The Girl Who Raised Pigeons,\,NN,2
01: The Girl Who Raised Pigeons,\,VBP,2
01: The Girl Who Raised Pigeons,^,CD,3
01: The Girl Who Raised Pigeons,^,FW,1
01: The Girl Who Raised Pigeons,^,NN,6
01: The Girl Who Raised Pigeons,^,SYM,6
01: The Girl Who Raised Pigeons,_,NN,1
01: The Girl Who Raised Pigeons,`,``,6
01: The Girl Who Raised Pigeons,``,``,108
01: The Girl Who Raised Pigeons,a,DT,163
01: The Girl Who Raised Pigeons,a/bulldog/about,JJ,1
01: The Girl Who Raised Pigeons,abandoned,VBN,2
01: The Girl Who Raised Pigeons,able,JJ,2
01: The Girl Who Raised Pigeons,about,IN,28
01: The Girl Who Raised Pigeons,about,RB,7
01: The Girl Who Raised Pigeons,above,IN,1
01: The Girl Who Raised Pigeons,absently,RB,1
01: The Girl Who Raised Pigeons,absolute,JJ,1
01: The Girl Who Raised Pigeons,accepted,VBD,1
01: The Girl Who Raised Pigeons,accumulated,VBN,1
01: The Girl Who Raised Pigeons,across,IN,9
01: The Girl Who Raised Pigeons,act,NN,1
01: The Girl Who Raised Pigeons,additional,JJ,1
01: The Girl Who Raised Pigeons,adjusted,VBD,1
01: The Girl Who Raised Pigeons,adult,NN,1
01: The Girl Who Raised Pigeons,afford,VB,1
01: The Girl Who Raised Pigeons,afraid,JJ,1
01: The Girl Who Raised Pigeons,after,IN,22
01: The Girl Who Raised Pigeons,afternoon,NN,2
01: The Girl Who Raised Pigeons,again,RB,12
01: The Girl Who Raised Pigeons,against,IN,2
01: The Girl Who Raised Pigeons,age,NN,1
01: The Girl Who Raised Pigeons,ages,NNS,2
01: The Girl Who Raised Pigeons,agitation,NN,1
01: The Girl Who Raised Pigeons,ahnnt,NN,1
01: The Girl Who Raised Pigeons,ai,NNP,1
01: The Girl Who Raised Pigeons,ai,VBP,6
01: The Girl Who Raised Pigeons,aid,NN,1
01: The Girl Who Raised Pigeons,air,NN,6
01: The Girl Who Raised Pigeons,airy,NNP,1
01: The Girl Who Raised Pigeons,aisle,NN,2
01: The Girl Who Raised Pigeons,akin,JJ,1
01: The Girl Who Raised Pigeons,alice,NNP,1
01: The Girl Who Raised Pigeons,alien,JJ,1
01: The Girl Who Raised Pigeons,all,DT,17
01: The Girl Who Raised Pigeons,all,PDT,15
01: The Girl Who Raised Pigeons,all,RB,3
01: The Girl Who Raised Pigeons,allowance,NN,1
01: The Girl Who Raised Pigeons,allowed,VBD,1
01: The Girl Who Raised Pigeons,allowed,VBN,1
01: The Girl Who Raised Pigeons,almost,RB,4
01: The Girl Who Raised Pigeons,alone,RB,3
01: The Girl Who Raised Pigeons,along,IN,5
01: The Girl Who Raised Pigeons,already,RB,1
01: The Girl Who Raised Pigeons,also,RB,2
01: The Girl Who Raised Pigeons,altogether,RB,2
01: The Girl Who Raised Pigeons,always,RB,5
01: The Girl Who Raised Pigeons,amateur,JJ,1
01: The Girl Who Raised Pigeons,amazed,VBN,1
01: The Girl Who Raised Pigeons,among,IN,3
01: The Girl Who Raised Pigeons,amount,NN,1
01: The Girl Who Raised Pigeons,amounted,VBD,1
01: The Girl Who Raised Pigeons,an,DT,20
01: The Girl Who Raised Pigeons,ana,NN,1
01: The Girl Who Raised Pigeons,anacostia,NNP,3
01: The Girl Who Raised Pigeons,ancrgo,NN,1
01: The Girl Who Raised Pigeons,and,CC,305
01: The Girl Who Raised Pigeons,andltavingalwaytbelieved,NNP,1
01: The Girl Who Raised Pigeons,animal,NN,2
01: The Girl Who Raised Pigeons,animals,NNS,1
01: The Girl Who Raised Pigeons,ann,NNP,45
01: The Girl Who Raised Pigeons,another,DT,4
01: The Girl Who Raised Pigeons,anticipation,NN,1
01: The Girl Who Raised Pigeons,any,DT,11
01: The Girl Who Raised Pigeons,anyone,NN,2
01: The Girl Who Raised Pigeons,anything,NN,4
01: The Girl Who Raised Pigeons,anyway,RB,2
01: The Girl Who Raised Pigeons,apartment,NN,3
01: The Girl Who Raised Pigeons,apartments,NNS,1
01: The Girl Who Raised Pigeons,appear,VBP,1
01: The Girl Who Raised Pigeons,appeared,VBD,1
01: The Girl Who Raised Pigeons,apree,NN,1
01: The Girl Who Raised Pigeons,area,NN,1
01: The Girl Who Raised Pigeons,arguing,VBG,1
01: The Girl Who Raised Pigeons,arm,NN,2
01: The Girl Who Raised Pigeons,arms,NNS,4
01: The Girl Who Raised Pigeons,around,IN,8
01: The Girl Who Raised Pigeons,around,RB,1
01: The Girl Who Raised Pigeons,around,RP,2
01: The Girl Who Raised Pigeons,as,IN,68
01: The Girl Who Raised Pigeons,as,RB,9
01: The Girl Who Raised Pigeons,aside,RB,2
01: The Girl Who Raised Pigeons,ask,VB,1
01: The Girl Who Raised Pigeons,ask,VBP,1
01: The Girl Who Raised Pigeons,asked,VBD,9
01: The Girl Who Raised Pigeons,asking,NN,1
01: The Girl Who Raised Pigeons,assent,NN,1
01: The Girl Who Raised Pigeons,assignments,NNS,1
01: The Girl Who Raised Pigeons,assistant,JJ,5
01: The Girl Who Raised Pigeons,ast,NN,1
01: The Girl Who Raised Pigeons,asthma,NN,1
01: The Girl Who Raised Pigeons,asthmatic,JJ,1
01: The Girl Who Raised Pigeons,asthmaticstlwhat,NN,1
01: The Girl Who Raised Pigeons,at,IN,67
01: The Girl Who Raised Pigeons,atop,IN,1
01: The Girl Who Raised Pigeons,attack,NN,1
01: The Girl Who Raised Pigeons,attended,VBN,1
01: The Girl Who Raised Pigeons,attractive,JJ,1
01: The Girl Who Raised Pigeons,aunt,NNP,1
01: The Girl Who Raised Pigeons,autumn,NN,1
01: The Girl Who Raised Pigeons,avenue,NNP,1
01: The Girl Who Raised Pigeons,avoid,VB,1
01: The Girl Who Raised Pigeons,avoided,VBD,1
01: The Girl Who Raised Pigeons,awake,RB,1
01: The Girl Who Raised Pigeons,aware,JJ,1
01: The Girl Who Raised Pigeons,away,RB,22
01: The Girl Who Raised Pigeons,b,NN,1
01: The Girl Who Raised Pigeons,babies,NNS,2
01: The Girl Who Raised Pigeons,baby,NN,10
01: The Girl Who Raised Pigeons,bachelor,NN,1
01: The Girl Who Raised Pigeons,back,JJ,1
01: The Girl Who Raised Pigeons,back,NN,4
01: The Girl Who Raised Pigeons,back,RB,31
01: The Girl Who Raised Pigeons,back,RP,1
01: The Girl Who Raised Pigeons,backs,NNS,2
01: The Girl Who Raised Pigeons,backyard,NN,3
01: The Girl Who Raised Pigeons,backyards,NNS,1
01: The Girl Who Raised Pigeons,bad,JJ,1
01: The Girl Who Raised Pigeons,bag,NN,1
01: The Girl Who Raised Pigeons,balls,NNS,1
01: The Girl Who Raised Pigeons,baltimore,NNP,2
01: The Girl Who Raised Pigeons,baptist,NNP,1
01: The Girl Who Raised Pigeons,barber,NN,6
01: The Girl Who Raised Pigeons,barberjmiles,NNP,1
01: The Girl Who Raised Pigeons,barbershop,NN,1
01: The Girl Who Raised Pigeons,barefoot,JJ,1
01: The Girl Who Raised Pigeons,barefoot,NN,2
01: The Girl Who Raised Pigeons,barely,RB,1
01: The Girl Who Raised Pigeons,barking,VBG,1
01: The Girl Who Raised Pigeons,bars,NNS,1
01: The Girl Who Raised Pigeons,baskets,NNS,2
01: The Girl Who Raised Pigeons,bath,NN,2
01: The Girl Who Raised Pigeons,bathroom,NN,3
01: The Girl Who Raised Pigeons,bathtub,NN,1
01: The Girl Who Raised Pigeons,be,VB,17
01: The Girl Who Raised Pigeons,beads,NNS,1
01: The Girl Who Raised Pigeons,beautiful,JJ,1
01: The Girl Who Raised Pigeons,beaver,NNP,2
01: The Girl Who Raised Pigeons,became,VBD,3
01: The Girl Who Raised Pigeons,because,IN,14
01: The Girl Who Raised Pigeons,because,RB,1
01: The Girl Who Raised Pigeons,become,VBN,1
01: The Girl Who Raised Pigeons,bed,NN,11
01: The Girl Who Raised Pigeons,bedroom,NN,1
01: The Girl Who Raised Pigeons,bedrooms,NNS,2
01: The Girl Who Raised Pigeons,been,VBN,29
01: The Girl Who Raised Pigeons,before,IN,23
01: The Girl Who Raised Pigeons,before,RB,2
01: The Girl Who Raised Pigeons,began,VBD,12
01: The Girl Who Raised Pigeons,begin,VB,3
01: The Girl Who Raised Pigeons,behind,IN,2
01: The Girl Who Raised Pigeons,bein,NN,1
01: The Girl Who Raised Pigeons,being,VBG,7
01: The Girl Who Raised Pigeons,beitanet,NN,1
01: The Girl Who Raised Pigeons,believe,VB,1
01: The Girl Who Raised Pigeons,believed,VBD,3
01: The Girl Who Raised Pigeons,bench,NN,2
01: The Girl Who Raised Pigeons,bent,JJ,1
01: The Girl Who Raised Pigeons,beryersej,FW,1
01: The Girl Who Raised Pigeons,beseech,VBP,1
01: The Girl Who Raised Pigeons,beside,IN,5
01: The Girl Who Raised Pigeons,beside,RB,1
01: The Girl Who Raised Pigeons,best,JJS,2
01: The Girl Who Raised Pigeons,bestow,VB,1
01: The Girl Who Raised Pigeons,betsy,NNP,44
01: The Girl Who Raised Pigeons,better-you-than-me,JJ,1
01: The Girl Who Raised Pigeons,between,IN,3
01: The Girl Who Raised Pigeons,beyond,IN,6
01: The Girl Who Raised Pigeons,bgainiin,NNP,1
01: The Girl Who Raised Pigeons,big,JJ,2
01: The Girl Who Raised Pigeons,bigger,JJR,1
01: The Girl Who Raised Pigeons,bill,NN,1
01: The Girl Who Raised Pigeons,bird,NN,14
01: The Girl Who Raised Pigeons,bird-work,JJ,1
01: The Girl Who Raised Pigeons,birds,NNS,29
01: The Girl Who Raised Pigeons,bits,NNS,1
01: The Girl Who Raised Pigeons,bkotne,NN,1
01: The Girl Who Raised Pigeons,black,JJ,2
01: The Girl Who Raised Pigeons,blanket,NN,2
01: The Girl Who Raised Pigeons,blankets,NNS,1
01: The Girl Who Raised Pigeons,blew,VBD,1
01: The Girl Who Raised Pigeons,blindfold,NN,1
01: The Girl Who Raised Pigeons,blindfolded,VBN,1
01: The Girl Who Raised Pigeons,blinked,VBD,1
01: The Girl Who Raised Pigeons,blinking,RB,1
01: The Girl Who Raised Pigeons,block,NN,2
01: The Girl Who Raised Pigeons,blocks,NNS,1
01: The Girl Who Raised Pigeons,blond-haired,JJ,1
01: The Girl Who Raised Pigeons,blood,NN,4
01: The Girl Who Raised Pigeons,blue,JJ,4
01: The Girl Who Raised Pigeons,board,NN,2
01: The Girl Who Raised Pigeons,bobbing,VBG,1
01: The Girl Who Raised Pigeons,bodies,NNS,4
01: The Girl Who Raised Pigeons,body,NN,2
01: The Girl Who Raised Pigeons,bonnet,NN,1
01: The Girl Who Raised Pigeons,book,NN,1
01: The Girl Who Raised Pigeons,books,NNS,2
01: The Girl Who Raised Pigeons,bored,JJ,1
01: The Girl Who Raised Pigeons,born,VBN,3
01: The Girl Who Raised Pigeons,bosco,NNP,1
01: The Girl Who Raised Pigeons,boss,NN,1
01: The Girl Who Raised Pigeons,both,CC,1
01: The Girl Who Raised Pigeons,both,DT,1
01: The Girl Who Raised Pigeons,bottom,NN,1
01: The Girl Who Raised Pigeons,bouncing,VBG,1
01: The Girl Who Raised Pigeons,bounding,VBG,1
01: The Girl Who Raised Pigeons,bout,NN,6
01: The Girl Who Raised Pigeons,bowls,VBZ,2
01: The Girl Who Raised Pigeons,box,NN,1
01: The Girl Who Raised Pigeons,boy,NN,7
01: The Girl Who Raised Pigeons,boyfriend,NN,1
01: The Girl Who Raised Pigeons,boys,NNS,6
01: The Girl Who Raised Pigeons,brain,NN,1
01: The Girl Who Raised Pigeons,brand,NN,1
01: The Girl Who Raised Pigeons,breakfast,NN,1
01: The Girl Who Raised Pigeons,breast,NN,3
01: The Girl Who Raised Pigeons,breath,NN,1
01: The Girl Who Raised Pigeons,breathe,VB,1
01: The Girl Who Raised Pigeons,brighter,RBR,1
01: The Girl Who Raised Pigeons,bring,VB,2
01: The Girl Who Raised Pigeons,bringing,VBG,1
01: The Girl Who Raised Pigeons,broom,NN,2
01: The Girl Who Raised Pigeons,brother,NN,1
01: The Girl Who Raised Pigeons,brothers,NNS,1
01: The Girl Who Raised Pigeons,brought,VBN,1
01: The Girl Who Raised Pigeons,brow,NN,1
01: The Girl Who Raised Pigeons,brown,JJ,1
01: The Girl Who Raised Pigeons,bubble,NN,1
01: The Girl Who Raised Pigeons,bug-eyed,JJ,1
01: The Girl Who Raised Pigeons,built,VBD,1
01: The Girl Who Raised Pigeons,bulldog,NN,1
01: The Girl Who Raised Pigeons,bullied,VBD,2
01: The Girl Who Raised Pigeons,buried,VBN,2
01: The Girl Who Raised Pigeons,burlap,NN,2
01: The Girl Who Raised Pigeons,bury,VB,1
01: The Girl Who Raised Pigeons,buster,NNP,1
01: The Girl Who Raised Pigeons,but,CC,35
01: The Girl Who Raised Pigeons,but,IN,1
01: The Girl Who Raised Pigeons,buttons,NNS,1
01: The Girl Who Raised Pigeons,by,IN,23
01: The Girl Who Raised Pigeons,c,NN,1
01: The Girl Who Raised Pigeons,ca,MD,1
01: The Girl Who Raised Pigeons,cab,NN,3
01: The Girl Who Raised Pigeons,call,VB,3
01: The Girl Who Raised Pigeons,called,VBD,7
01: The Girl Who Raised Pigeons,called,VBN,1
01: The Girl Who Raised Pigeons,came,VBD,11
01: The Girl Who Raised Pigeons,can,MD,2
01: The Girl Who Raised Pigeons,candy,NN,8
01: The Girl Who Raised Pigeons,capitol,NNP,6
01: The Girl Who Raised Pigeons,care,NN,4
01: The Girl Who Raised Pigeons,carleton,NNP,3
01: The Girl Who Raised Pigeons,carlos,NNP,3
01: The Girl Who Raised Pigeons,carriage,NN,6
01: The Girl Who Raised Pigeons,carried,VBD,1
01: The Girl Who Raised Pigeons,carry,VBP,1
01: The Girl Who Raised Pigeons,casket,NN,1
01: The Girl Who Raised Pigeons,castleberg,NNP,1
01: The Girl Who Raised Pigeons,catch,VB,1
01: The Girl Who Raised Pigeons,catered,VBD,1
01: The Girl Who Raised Pigeons,caught,VBD,2
01: The Girl Who Raised Pigeons,caught,VBN,1
01: The Girl Who Raised Pigeons,cause,NN,1
01: The Girl Who Raised Pigeons,cause,VB,1
01: The Girl Who Raised Pigeons,caused,VBD,1
01: The Girl Who Raised Pigeons,center,NN,1
01: The Girl Who Raised Pigeons,cept,NNP,1
01: The Girl Who Raised Pigeons,certain,JJ,1
01: The Girl Who Raised Pigeons,chair,NN,4
01: The Girl Who Raised Pigeons,changed,VBD,2
01: The Girl Who Raised Pigeons,changed,VBN,1
01: The Girl Who Raised Pigeons,chaos,NN,1
01: The Girl Who Raised Pigeons,chart,VB,1
01: The Girl Who Raised Pigeons,charted,VBD,1
01: The Girl Who Raised Pigeons,chased,VBD,1
01: The Girl Who Raised Pigeons,checking,VBG,2
01: The Girl Who Raised Pigeons,cheek,NN,1
01: The Girl Who Raised Pigeons,chest,NN,2
01: The Girl Who Raised Pigeons,chewed,VBN,1
01: The Girl Who Raised Pigeons,child,NN,17
01: The Girl Who Raised Pigeons,childhood,NN,1
01: The Girl Who Raised Pigeons,children,NNS,14
01: The Girl Who Raised Pigeons,chirping,NN,1
01: The Girl Who Raised Pigeons,chirren,NNS,2
01: The Girl Who Raised Pigeons,church,NN,2
01: The Girl Who Raised Pigeons,church,NNP,1
01: The Girl Who Raised Pigeons,cities,NNS,1
01: The Girl Who Raised Pigeons,city,NN,9
01: The Girl Who Raised Pigeons,clara,NNP,17
01: The Girl Who Raised Pigeons,clean,JJ,3
01: The Girl Who Raised Pigeons,cleaning,NN,1
01: The Girl Who Raised Pigeons,cleaning,VBG,1
01: The Girl Who Raised Pigeons,clear,JJ,2
01: The Girl Who Raised Pigeons,clerk,NN,1
01: The Girl Who Raised Pigeons,clerk-typist,NN,1
01: The Girl Who Raised Pigeons,close,VB,2
01: The Girl Who Raised Pigeons,closed,VBD,3
01: The Girl Who Raised Pigeons,closer,RB,1
01: The Girl Who Raised Pigeons,closer,RBR,3
01: The Girl Who Raised Pigeons,closet,NN,1
01: The Girl Who Raised Pigeons,cloth,NN,1
01: The Girl Who Raised Pigeons,clothe,VBP,1
01: The Girl Who Raised Pigeons,clothed,VBD,1
01: The Girl Who Raised Pigeons,coat,NN,1
01: The Girl Who Raised Pigeons,cocoa,NN,1
01: The Girl Who Raised Pigeons,coffee,NN,1
01: The Girl Who Raised Pigeons,cold,JJ,4
01: The Girl Who Raised Pigeons,coldness,NN,1
01: The Girl Who Raised Pigeons,collapse,NN,1
01: The Girl Who Raised Pigeons,colored,VBN,2
01: The Girl Who Raised Pigeons,colorful,JJ,1
01: The Girl Who Raised Pigeons,colors,NNS,3
01: The Girl Who Raised Pigeons,come,VB,7
01: The Girl Who Raised Pigeons,come,VBN,3
01: The Girl Who Raised Pigeons,comfort,NN,1
01: The Girl Who Raised Pigeons,comfortable,JJ,1
01: The Girl Who Raised Pigeons,coming,VBG,4
01: The Girl Who Raised Pigeons,communicate,VB,1
01: The Girl Who Raised Pigeons,company,NN,1
01: The Girl Who Raised Pigeons,complete,JJ,1
